experiment_id,scheduler,source_file,window,total_requests,total_errors,error_rate_pct,qps,p50_ms,p95_ms,p99_ms,target_backend,target_share_pct,expected_share_pct,absolute_share_error_pct,max_target_running,max_target_waiting,max_target_kv_cache_usage,max_target_remote_utilization,max_target_queue_depth,max_target_router_kv_cache_usage,backend_distribution,main_conclusion,notes
exp1,direct-npu3,exp1-balanced-baseline/exp1-real-direct-npu3.csv,all,7991,0,0.0,133.22,244.85,284.5,303.8,,,,,,,,,,,none=7991(100.0%),真实 NPU 均衡基线,direct 是单后端参考；router 行使用五个真实后端
exp1,swrr,exp1-balanced-baseline/exp1-real-swrr.csv,all,14842,0,0.0,247.41,128.48,148.08,156.44,,,,,,,,,,,qwen15b-npu3=2966(19.98%);qwen15b-npu4=2974(20.04%);qwen15b-npu5=2972(20.02%);qwen15b-npu6=2964(19.97%);qwen15b-npu7=2966(19.98%),真实 NPU 均衡基线,direct 是单后端参考；router 行使用五个真实后端
exp1,p2c_smooth_wrr,exp1-balanced-baseline/exp1-real-p2c.csv,all,14788,0,0.0,246.46,129.57,148.41,156.53,,,,,,,,,,,qwen15b-npu3=2954(19.98%);qwen15b-npu4=2964(20.04%);qwen15b-npu5=2960(20.02%);qwen15b-npu6=2955(19.98%);qwen15b-npu7=2955(19.98%),真实 NPU 均衡基线,direct 是单后端参考；router 行使用五个真实后端
exp1,balanced_p2c,exp1-balanced-baseline/exp1-real-balanced.csv,all,14732,0,0.0,245.48,129.74,149.72,158.0,,,,,,,,,,,qwen15b-npu3=2944(19.98%);qwen15b-npu4=2952(20.04%);qwen15b-npu5=2951(20.03%);qwen15b-npu6=2940(19.96%);qwen15b-npu7=2945(19.99%),真实 NPU 均衡基线,direct 是单后端参考；router 行使用五个真实后端
exp2,swrr,exp2-hotspot-load/exp2-real-hotspot-swrr.csv,all,14179,0,0.0,236.45,133.7,154.65,178.44,qwen15b-npu3,19.96,,,38.0,0.0,0.013385,0.0,0.0,0.0,qwen15b-npu3=2830(19.96%);qwen15b-npu4=2839(20.02%);qwen15b-npu5=2839(20.02%);qwen15b-npu6=2836(20.0%);qwen15b-npu7=2835(19.99%),qwen15b-npu3 真实热点压力,背景压力是直接打到 NPU3 的长 prompt 请求
exp2,p2c_smooth_wrr,exp2-hotspot-load/exp2-real-hotspot-p2c.csv,all,14447,0,0.0,240.81,132.3,148.74,158.73,qwen15b-npu3,0.0,,,32.0,0.0,0.012984,1.0,0.0,0.011556,qwen15b-npu4=3622(25.07%);qwen15b-npu5=3624(25.08%);qwen15b-npu6=3616(25.03%);qwen15b-npu7=3585(24.81%),qwen15b-npu3 真实热点压力,背景压力是直接打到 NPU3 的长 prompt 请求
exp2,balanced_p2c,exp2-hotspot-load/exp2-real-hotspot-balanced.csv,all,14429,0,0.0,240.42,132.5,149.97,157.72,qwen15b-npu3,3.94,,,35.0,0.0,0.013064,1.0,0.0,0.011653,qwen15b-npu3=568(3.94%);qwen15b-npu4=3467(24.03%);qwen15b-npu5=3479(24.11%);qwen15b-npu6=3451(23.92%);qwen15b-npu7=3464(24.01%),qwen15b-npu3 真实热点压力,背景压力是直接打到 NPU3 的长 prompt 请求
exp8,swrr,exp8-qwen7b-hotspot/exp8-qwen7b-hotspot-swrr.csv,all,8532,0,0.0,77.51,102.46,136.74,279.1,qwen7b-npu3,19.81,,,15.0,0.0,0.011802,0.0,0.0,0.0,qwen7b-npu3=1690(19.81%);qwen7b-npu4=1711(20.05%);qwen7b-npu5=1711(20.05%);qwen7b-npu6=1710(20.04%);qwen7b-npu7=1710(20.04%),Qwen2.5-7B 真实热点压力,背景压力是直接打到 Qwen2.5-7B NPU3 的长 prompt 请求
exp8,p2c_smooth_wrr,exp8-qwen7b-hotspot/exp8-qwen7b-hotspot-p2c.csv,all,11100,0,0.0,92.51,130.15,187.76,222.68,qwen7b-npu3,0.0,,,12.0,0.0,0.011433,1.0,0.0,0.010201,qwen7b-npu4=2790(25.14%);qwen7b-npu5=2783(25.07%);qwen7b-npu6=2778(25.03%);qwen7b-npu7=2749(24.77%),Qwen2.5-7B 真实热点压力,背景压力是直接打到 Qwen2.5-7B NPU3 的长 prompt 请求
exp8,balanced_p2c,exp8-qwen7b-hotspot/exp8-qwen7b-hotspot-balanced.csv,all,11415,0,0.0,95.13,125.94,182.55,214.18,qwen7b-npu3,3.64,,,15.0,0.0,0.011617,1.0,0.0,0.010245,qwen7b-npu3=415(3.64%);qwen7b-npu4=2759(24.17%);qwen7b-npu5=2755(24.13%);qwen7b-npu6=2752(24.11%);qwen7b-npu7=2734(23.95%),Qwen2.5-7B 真实热点压力,背景压力是直接打到 Qwen2.5-7B NPU3 的长 prompt 请求
