second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,252,1.0,133.55550821870565,160.26933770626783,169.54418970271945,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=52;qwen15b-npu6=50;qwen15b-npu7=50
1,244,1.0,128.9246268570423,146.300682798028,153.23159005492926,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=49
2,250,1.0,127.07045394927263,144.98474495485425,152.30864379554987,qwen15b-npu3=53;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=51
3,244,1.0,129.9995039589703,153.08038890361786,175.013427156955,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=52;qwen15b-npu7=47
4,244,1.0,131.63691479712725,146.40864403918386,154.7166802920401,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=49
5,248,1.0,130.23738516494632,148.90255080536008,162.82901400700212,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=51
6,240,1.0,130.57328714057803,145.45962773263454,151.25988703221083,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=46;qwen15b-npu6=49;qwen15b-npu7=46
7,249,1.0,127.55839666351676,147.67488278448582,151.8016909249127,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=52;qwen15b-npu6=50;qwen15b-npu7=52
8,246,1.0,127.97157000750303,145.99927188828588,149.16061330586672,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=47
9,249,1.0,129.59827203303576,146.85236709192395,155.7525871321559,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=52
10,253,1.0,126.51623133569956,145.16007574275136,150.2665807493031,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=50
11,249,1.0,127.8111394494772,143.3308031409979,149.96549766510725,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=50
12,250,1.0,126.21328793466091,141.30997005850077,147.4436209537089,qwen15b-npu3=54;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
13,251,1.0,129.97673358768225,146.9811680726707,152.60626608505845,qwen15b-npu3=49;qwen15b-npu4=52;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=49
14,240,1.0,131.26018270850182,148.21627596393228,152.94854762032628,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=45;qwen15b-npu7=50
15,245,1.0,131.6427350975573,151.44962817430496,162.20515966415405,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
16,241,1.0,130.98560087382793,148.25084572657943,151.69502003118396,qwen15b-npu3=47;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=46
17,246,1.0,131.39797328040004,147.25593011826277,154.75428104400635,qwen15b-npu3=52;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=49
18,247,1.0,131.69982563704252,146.26653399318457,149.31926410645247,qwen15b-npu3=47;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
19,251,1.0,125.00223983079195,144.874454010278,148.18201586604118,qwen15b-npu3=52;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=51
20,252,1.0,126.5844707377255,144.0320978872478,147.42717193439603,qwen15b-npu3=51;qwen15b-npu4=52;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=49
21,240,1.0,130.64333889633417,149.1591432131827,151.82995097711682,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
22,248,1.0,129.17472794651985,153.7248743698001,162.53334190696478,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
23,243,1.0,132.13187782093883,150.5313622765243,155.6807062588632,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=47
24,243,1.0,129.38516028225422,150.31580114737153,156.96260519325733,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
25,243,1.0,131.86007691547275,148.68181012570858,153.81068410351872,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
26,246,1.0,130.444698035717,143.9776080660522,153.2232202589512,qwen15b-npu3=51;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=48
27,249,1.0,129.11355821415782,144.0292475745082,150.2980012446642,qwen15b-npu3=48;qwen15b-npu4=51;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=51
28,251,1.0,130.7291490957141,146.00365096703172,152.33350405469537,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=51
29,238,1.0,132.50534096732736,153.75860407948494,167.63311717659235,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=47
30,248,1.0,130.675348918885,145.03800496459007,150.7376437075436,qwen15b-npu3=50;qwen15b-npu4=47;qwen15b-npu5=53;qwen15b-npu6=48;qwen15b-npu7=50
31,251,1.0,128.58699541538954,145.42531734332442,149.79752711951733,qwen15b-npu3=50;qwen15b-npu4=52;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=50
32,246,1.0,128.90663603320718,148.4654489904642,154.16057594120502,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
33,248,1.0,128.97877674549818,148.0525159277022,156.15200996398926,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=49
34,249,1.0,126.50290038436651,141.07615919783711,146.9205478206277,qwen15b-npu3=52;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=49
35,252,1.0,128.62037494778633,146.46178390830755,155.18291294574738,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=52;qwen15b-npu7=51
36,246,1.0,128.44903441146016,149.03239207342267,158.9019875973463,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=48
37,244,1.0,130.14295510947704,150.1464401371777,154.4291488826275,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=51
38,245,1.0,131.84308586642146,151.7637800425291,162.4466022476554,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=47
39,246,1.0,130.1094051450491,149.05973197892308,153.634212911129,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=51
40,244,1.0,130.43872686102986,148.23102578520775,151.31400804966688,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=48
41,248,1.0,128.80161590874195,144.737983122468,148.34429789334536,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=51
42,248,1.0,128.0590509995818,146.96725877001882,157.84474089741707,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=48
43,243,1.0,133.1568849273026,153.14282895997167,161.05083283036947,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=48
44,247,1.0,129.98246401548386,143.60243594273925,151.88905084505677,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=48;qwen15b-npu7=49
45,247,1.0,129.1307182982564,150.2331900410354,157.39313792437315,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=51;qwen15b-npu7=51
46,247,1.0,129.734312184155,149.4676349684596,165.36336205899715,qwen15b-npu3=52;qwen15b-npu4=50;qwen15b-npu5=46;qwen15b-npu6=50;qwen15b-npu7=49
47,249,1.0,126.76222203299403,144.57846200093627,150.1889298669994,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=52;qwen15b-npu6=48;qwen15b-npu7=50
48,249,1.0,128.89455631375313,145.60522884130478,152.07421220839024,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=53;qwen15b-npu6=50;qwen15b-npu7=48
49,247,1.0,130.87945990264416,153.74242421239614,159.02478899806738,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=51
50,237,1.0,131.41380390152335,150.81405406817794,162.01857896521688,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=46;qwen15b-npu6=49;qwen15b-npu7=46
51,251,1.0,129.70842188224196,150.2846609801054,153.8988440297544,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
52,247,1.0,127.34100641682744,146.9178879633546,151.2468969449401,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=51
53,242,1.0,130.8056591078639,156.63379291072488,162.37849136814475,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=46
54,250,1.0,129.23773797228932,146.67888591066003,150.83403419703245,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=51
55,248,1.0,129.45906026288867,145.16167622059584,150.78416420146823,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=48
56,245,1.0,130.22676622495055,148.70530972257257,154.47929874062538,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=51
57,243,1.0,131.1685717664659,154.68196012079716,166.77921218797565,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=49
58,243,1.0,129.39464021474123,155.81413777545094,159.49966199696064,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
59,245,1.0,129.11561829969287,149.20956315472722,153.68865383788943,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=50
60,1,1.0,135.75213216245174,135.75213216245174,135.75213216245174,qwen15b-npu6=1
