ts,status,latency_ms,backend,error
1782497864.1249735,200,119.95864706113935,qwen15b-npu3,
1782497864.126012,200,120.3263089992106,qwen15b-npu7,
1782497864.1262705,200,118.55317698791623,qwen15b-npu4,
1782497864.1312459,200,127.74596875533462,qwen15b-npu5,
1782497864.131583,200,120.92474289238453,qwen15b-npu5,
1782497864.1456969,200,137.44490407407284,qwen15b-npu6,
1782497864.153025,200,134.74188605323434,qwen15b-npu4,
1782497864.153557,200,137.1925030834973,qwen15b-npu4,
1782497864.1548538,200,144.6917220018804,qwen15b-npu4,
1782497864.1555452,200,142.2016159631312,qwen15b-npu4,
1782497864.1562827,200,141.72756299376488,qwen15b-npu7,
1782497864.1565948,200,140.98271820694208,qwen15b-npu3,
1782497864.1568835,200,138.13267881050706,qwen15b-npu3,
1782497864.1580892,200,138.27270921319723,qwen15b-npu7,
1782497864.1588752,200,149.5273350737989,qwen15b-npu3,
1782497864.159323,200,140.0659908540547,qwen15b-npu7,
1782497864.1595817,200,147.50608103349805,qwen15b-npu7,
1782497864.160154,200,143.09356175363064,qwen15b-npu5,
1782497864.1605105,200,138.8922231271863,qwen15b-npu3,
1782497864.1607711,200,148.0826148763299,qwen15b-npu3,
1782497864.1611063,200,140.24164201691747,qwen15b-npu5,
1782497864.1620672,200,148.07780599221587,qwen15b-npu5,
1782497864.1763735,200,156.0729187913239,qwen15b-npu6,
1782497864.1766503,200,161.53645608574152,qwen15b-npu6,
1782497864.176985,200,159.16887018829584,qwen15b-npu6,
1782497864.1778286,200,166.56525991857052,qwen15b-npu6,
1782497864.2010944,200,176.97247909381986,qwen15b-npu7,
1782497864.2015073,200,178.04000712931156,qwen15b-npu4,
1782497864.2022946,200,177.50388337299228,qwen15b-npu4,
1782497864.202606,200,177.09515010938048,qwen15b-npu3,
1782497864.2065384,200,180.25807198137045,qwen15b-npu5,
1782497864.2292304,200,206.46085776388645,qwen15b-npu6,
1782497864.248391,200,116.73589469864964,qwen15b-npu4,
1782497864.2520492,200,120.71560183539987,qwen15b-npu3,
1782497864.252443,200,126.10720796510577,qwen15b-npu7,
1782497864.2563374,200,131.23123301193118,qwen15b-npu5,
1782497864.2566762,200,110.84062466397882,qwen15b-npu5,
1782497864.2575467,200,131.46268390119076,qwen15b-npu6,
1782497864.2748897,200,115.91037875041366,qwen15b-npu4,
1782497864.275289,200,118.90165926888585,qwen15b-npu4,
1782497864.2756886,200,115.44921575114131,qwen15b-npu4,
1782497864.278199,200,121.23464467003942,qwen15b-npu7,
1782497864.2785587,200,124.87997906282544,qwen15b-npu7,
1782497864.2788699,200,119.2156309261918,qwen15b-npu7,
1782497864.2803633,200,119.77968504652381,qwen15b-npu3,
1782497864.281337,200,121.94010987877846,qwen15b-npu3,
1782497864.2817063,200,128.55768436565995,qwen15b-npu3,
1782497864.2843735,200,122.22282215952873,qwen15b-npu5,
1782497864.2846777,200,128.01360012963414,qwen15b-npu5,
1782497864.2850077,200,126.80030288174748,qwen15b-npu5,
1782497864.298088,200,121.36694602668285,qwen15b-npu4,
1782497864.3032324,200,126.78750231862068,qwen15b-npu7,
1782497864.3035507,200,126.49986986070871,qwen15b-npu3,
1782497864.3091338,200,131.19013188406825,qwen15b-npu5,
1782497864.3171766,200,162.2544308193028,qwen15b-npu6,
1782497864.317482,200,156.30703093484044,qwen15b-npu6,
1782497864.31774,200,156.9000850431621,qwen15b-npu6,
1782497864.3180509,200,162.39173198118806,qwen15b-npu6,
1782497864.3230138,200,120.63847063109279,qwen15b-npu4,
1782497864.3285902,200,125.87261665612459,qwen15b-npu7,
1782497864.3305938,200,128.97045724093914,qwen15b-npu3,
1782497864.335257,200,128.64345498383045,qwen15b-npu5,
1782497864.3446174,200,143.40840419754386,qwen15b-npu6,
1782497864.372483,200,119.96681662276387,qwen15b-npu4,
1782497864.3735032,200,144.19410936534405,qwen15b-npu6,
1782497864.3798206,200,131.34890282526612,qwen15b-npu7,
1782497864.3800795,200,122.45581392198801,qwen15b-npu7,
1782497864.381417,200,129.2546489275992,qwen15b-npu3,
1782497864.386887,200,130.46598667278886,qwen15b-npu5,
1782497864.3990893,200,123.3162791468203,qwen15b-npu4,
1782497864.3994665,200,114.69370126724243,qwen15b-npu4,
1782497864.400348,200,118.90925886109471,qwen15b-npu4,
1782497864.4030042,200,146.2052329443395,qwen15b-npu6,
1782497864.4096804,200,125.21298229694366,qwen15b-npu7,
1782497864.4104965,200,131.85645593330264,qwen15b-npu7,
1782497864.4131339,200,134.14812181144953,qwen15b-npu3,
