second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,253,1.0,128.77973588183522,162.39173198118806,178.04000712931156,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=50;qwen15b-npu7=50
1,247,1.0,130.36913564428687,146.56647620722651,151.49036888033152,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=50
2,249,1.0,126.17403781041503,144.56202229484916,147.85552397370338,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
3,249,1.0,129.06992807984352,143.9341278746724,148.80242105573416,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=50
4,251,1.0,126.66555074974895,148.97435205057263,159.08681973814964,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=51
5,246,1.0,130.82763040438294,145.511819049716,148.5688891261816,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
6,249,1.0,125.65012509003282,143.00178131088614,147.15319918468595,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
7,254,1.0,125.96683716401458,147.22512988373637,151.172396261245,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=51
8,245,1.0,129.0529272519052,150.508021004498,156.87519405037165,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
9,244,1.0,133.63041821867228,150.99063469097018,159.3907717615366,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=48
10,248,1.0,129.48340037837625,149.1293516010046,157.35451830551028,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
11,245,1.0,128.3327229321003,148.0571459978819,156.09313873574138,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=49
12,247,1.0,130.3355460986495,145.74133977293968,150.4546320065856,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=49
13,249,1.0,128.43997310847044,144.5648423396051,151.20400581508875,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=50
14,247,1.0,127.1081636659801,145.66804887726903,152.33863424509764,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=50
15,244,1.0,130.43640600517392,151.59479016438127,158.90831826254725,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
16,248,1.0,130.1790550351143,153.21678994223475,160.56635975837708,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
