ts,status,latency_ms,backend,error
1782563607.2758904,200,112.76902200006589,qwen15b-npu4,
1782563607.2861917,200,124.64032599928032,qwen15b-npu7,
1782563607.2877297,200,130.5115230006777,qwen15b-npu5,
1782563607.288564,200,129.07634699877235,qwen15b-npu5,
1782563607.2919369,200,128.04467199930514,qwen15b-npu6,
1782563607.3033915,200,138.6889400000655,qwen15b-npu4,
1782563607.3038142,200,145.1160090000485,qwen15b-npu4,
1782563607.304206,200,133.1929650004895,qwen15b-npu4,
1782563607.30493,200,137.15937300003134,qwen15b-npu4,
1782563607.314518,200,154.39142200011702,qwen15b-npu7,
1782563607.315183,200,144.76922800167813,qwen15b-npu7,
1782563607.316,200,146.5605659996072,qwen15b-npu5,
1782563607.3167598,200,140.5598490000557,qwen15b-npu5,
1782563607.3175604,200,145.54585099904216,qwen15b-npu5,
1782563607.3182027,200,146.69029600008798,qwen15b-npu5,
1782563607.3190262,200,153.35323699946457,qwen15b-npu7,
1782563607.3198378,200,146.30867499909073,qwen15b-npu7,
1782563607.3207724,200,152.13639100147702,qwen15b-npu3,
1782563607.321485,200,144.73590700072236,qwen15b-npu6,
1782563607.3219633,200,147.24784899954102,qwen15b-npu6,
1782563607.3237891,200,157.0842140008608,qwen15b-npu6,
1782563607.3241355,200,151.26559700001962,qwen15b-npu6,
1782563607.3244622,200,148.7993060000008,qwen15b-npu6,
1782563607.324828,200,150.78047499991953,qwen15b-npu6,
1782563607.3256898,200,164.8110580008506,qwen15b-npu6,
1782563607.3383355,200,158.5250600001018,qwen15b-npu5,
1782563607.3386445,200,161.33910299868148,qwen15b-npu5,
1782563607.3430526,200,165.25479099982476,qwen15b-npu7,
1782563607.34336,200,164.98529999989842,qwen15b-npu7,
1782563607.3437974,200,162.72109000055934,qwen15b-npu7,
1782563607.3526666,200,172.05227200065565,qwen15b-npu4,
1782563607.3530135,200,173.7948289992346,qwen15b-npu4,
1782563607.4033778,200,114.71210099989548,qwen15b-npu4,
1782563607.4037833,200,115.95052700067754,qwen15b-npu4,
1782563607.404161,200,128.15144200067152,qwen15b-npu4,
1782563607.4172938,200,125.25353899945912,qwen15b-npu7,
1782563607.425579,200,139.24453200161224,qwen15b-npu6,
1782563607.4260066,200,121.70499300009396,qwen15b-npu6,
1782563607.4297595,200,124.74560699956783,qwen15b-npu3,
1782563607.4404871,200,115.93635700046434,qwen15b-npu5,
1782563607.4408097,200,136.8766819996381,qwen15b-npu5,
1782563607.4411495,200,137.62147499983257,qwen15b-npu5,
1782563607.44184,200,120.94724899907305,qwen15b-npu5,
1782563607.4423263,200,126.23066299966013,qwen15b-npu5,
1782563607.446141,200,130.84470499961753,qwen15b-npu7,
1782563607.446811,200,121.89052400026412,qwen15b-npu7,
1782563607.4470987,200,123.23681000088982,qwen15b-npu7,
1782563607.4480534,200,133.44679600049858,qwen15b-npu7,
1782563607.4545295,200,136.22740900063945,qwen15b-npu4,
1782563607.4548082,200,134.88592300018354,qwen15b-npu4,
1782563607.4551518,200,137.5009939984011,qwen15b-npu4,
1782563607.4557793,200,133.74723699962487,qwen15b-npu4,
1782563607.4561145,200,139.25280300099985,qwen15b-npu6,
1782563607.4580028,200,136.4479690000735,qwen15b-npu6,
1782563607.4583364,200,139.24204300019483,qwen15b-npu4,
1782563607.458775,200,134.5414309998887,qwen15b-npu6,
1782563607.4594042,200,133.64467700012028,qwen15b-npu6,
1782563607.463455,200,124.69829600013327,qwen15b-npu5,
1782563607.473055,200,129.9245999998675,qwen15b-npu7,
1782563607.4734042,200,129.5204879988887,qwen15b-npu7,
1782563607.4742627,200,135.8534270002565,qwen15b-npu7,
1782563607.4785364,200,135.06646400128375,qwen15b-npu6,
1782563607.489889,200,136.80725099948177,qwen15b-npu5,
1782563607.490263,200,137.50317500125675,qwen15b-npu5,
1782563607.524301,200,120.38453700006357,qwen15b-npu7,
1782563607.5273137,200,123.07421900004556,qwen15b-npu4,
1782563607.5399334,200,122.53646700082754,qwen15b-npu3,
1782563607.5403566,200,136.86030200005916,qwen15b-npu5,
1782563607.5577676,200,132.07108999995398,qwen15b-npu7,
1782563607.559314,200,117.38729399985459,qwen15b-npu4,
1782563607.5602987,200,130.4715930000384,qwen15b-npu6,
1782563607.5612707,200,135.14665399998194,qwen15b-npu6,
1782563607.5667837,200,124.3821249991015,qwen15b-npu5,
1782563607.5672145,200,120.98450000121375,qwen15b-npu5,
1782563607.5675483,200,120.33498699929623,qwen15b-npu5,
1782563607.5695455,200,121.39358099921083,qwen15b-npu3,
1782563607.5806313,200,133.7498480006616,qwen15b-npu7,
1782563607.5817854,200,122.84722799995507,qwen15b-npu7,
1782563607.582238,200,118.69093899986183,qwen15b-npu4,
