second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,250,1.0,133.31418599955214,153.35323699946457,165.25479099982476,qwen15b-npu3=10;qwen15b-npu4=60;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=60
1,239,1.0,133.4657059996971,147.78925199971127,150.82969499962928,qwen15b-npu3=6;qwen15b-npu4=58;qwen15b-npu5=60;qwen15b-npu6=57;qwen15b-npu7=58
2,246,1.0,131.05252499917697,148.84909600004903,153.72791799927654,qwen15b-npu3=10;qwen15b-npu4=57;qwen15b-npu5=59;qwen15b-npu6=61;qwen15b-npu7=59
3,237,1.0,133.07414399969275,147.68216099946585,152.64102299988735,qwen15b-npu3=9;qwen15b-npu4=56;qwen15b-npu5=56;qwen15b-npu6=57;qwen15b-npu7=59
4,241,1.0,132.61209200027224,142.71055800054455,146.59406600003422,qwen15b-npu3=3;qwen15b-npu4=62;qwen15b-npu5=57;qwen15b-npu6=60;qwen15b-npu7=59
5,242,1.0,132.19331999971473,146.65851700010535,151.41932799997448,qwen15b-npu3=8;qwen15b-npu4=58;qwen15b-npu5=62;qwen15b-npu6=57;qwen15b-npu7=57
6,238,1.0,133.62975699965318,152.3264419993211,161.02280199993402,qwen15b-npu3=16;qwen15b-npu4=54;qwen15b-npu5=54;qwen15b-npu6=57;qwen15b-npu7=57
7,235,1.0,132.60947200069495,151.28706799987413,155.7424769998761,qwen15b-npu3=9;qwen15b-npu4=56;qwen15b-npu5=59;qwen15b-npu6=56;qwen15b-npu7=55
8,247,1.0,131.887868999911,147.96199199918192,153.64067799964687,qwen15b-npu3=14;qwen15b-npu4=59;qwen15b-npu5=55;qwen15b-npu6=59;qwen15b-npu7=60
9,242,1.0,131.9984799993108,146.5616460009187,151.87721999973292,qwen15b-npu3=12;qwen15b-npu4=53;qwen15b-npu5=60;qwen15b-npu6=58;qwen15b-npu7=59
10,244,1.0,129.8405699999421,145.3220399998827,151.95773000050394,qwen15b-npu3=10;qwen15b-npu4=59;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=57
11,247,1.0,129.8222089990304,142.52407700041658,152.36647199890285,qwen15b-npu3=9;qwen15b-npu4=63;qwen15b-npu5=53;qwen15b-npu6=59;qwen15b-npu7=63
12,245,1.0,130.2401609991648,144.96340799996688,149.72169100110477,qwen15b-npu3=12;qwen15b-npu4=57;qwen15b-npu5=63;qwen15b-npu6=58;qwen15b-npu7=55
13,242,1.0,132.33518099877983,144.80538799944043,147.6706710000144,qwen15b-npu3=9;qwen15b-npu4=57;qwen15b-npu5=58;qwen15b-npu6=59;qwen15b-npu7=59
14,239,1.0,133.30128500092542,152.1883709992835,163.37674199894536,qwen15b-npu3=14;qwen15b-npu4=56;qwen15b-npu5=55;qwen15b-npu6=57;qwen15b-npu7=57
15,237,1.0,131.3331069995911,148.93620700058818,155.46078599982138,qwen15b-npu3=8;qwen15b-npu4=59;qwen15b-npu5=57;qwen15b-npu6=57;qwen15b-npu7=56
16,242,1.0,133.77396800024144,146.57973600151308,155.1806649986247,qwen15b-npu3=11;qwen15b-npu4=57;qwen15b-npu5=56;qwen15b-npu6=61;qwen15b-npu7=57
17,248,1.0,130.02994099952048,149.65284999925643,157.2931949995109,qwen15b-npu3=11;qwen15b-npu4=57;qwen15b-npu5=62;qwen15b-npu6=58;qwen15b-npu7=60
18,235,1.0,133.63615699927323,151.85197000027983,155.6354870008363,qwen15b-npu3=8;qwen15b-npu4=56;qwen15b-npu5=58;qwen15b-npu6=58;qwen15b-npu7=55
