second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,198,1.0,152.604324001004,387.45258999915677,403.51333299986436,qwen15b-npu3=39;qwen15b-npu4=39;qwen15b-npu5=40;qwen15b-npu6=40;qwen15b-npu7=40
1,236,1.0,135.51065599858703,154.35012099987944,161.63004400004866,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=47
2,234,1.0,135.4237049999938,155.05424399998446,163.0644899996696,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=46;qwen15b-npu7=47
3,235,1.0,136.71488200088788,156.8297319990961,161.73573400010355,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=46;qwen15b-npu6=48;qwen15b-npu7=46
4,232,1.0,136.78980199983926,154.6397820002312,159.87307700015663,qwen15b-npu3=46;qwen15b-npu4=46;qwen15b-npu5=47;qwen15b-npu6=46;qwen15b-npu7=47
5,238,1.0,133.96206900142715,157.60608600066917,162.44866799934243,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
6,242,1.0,130.6627039994055,148.74203599902103,155.77665800083196,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=47
7,242,1.0,131.6638980006246,148.55176499986555,154.56456299943966,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=50
8,236,1.0,133.667467000123,153.5121369997796,161.04800200082536,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=46;qwen15b-npu6=48;qwen15b-npu7=47
9,240,1.0,132.70554299924697,152.3788220001734,161.58750400063582,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=48
10,240,1.0,133.4254859993962,150.79943499949877,154.75139299996954,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=47
11,239,1.0,131.2968769998406,150.17745199838828,154.64744299970334,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=48
12,229,1.0,133.57240700133843,192.2576430006302,289.24179400019057,qwen15b-npu3=46;qwen15b-npu4=45;qwen15b-npu5=46;qwen15b-npu6=45;qwen15b-npu7=47
13,242,1.0,131.87484899935953,147.59844099899055,152.38190200034296,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=47
14,241,1.0,131.7632690006576,148.32700400074827,152.44444300151372,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=49
15,239,1.0,134.96373300040432,150.6998349996138,154.69280300021637,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=47
16,242,1.0,130.75650400060113,150.43208399947616,158.23837900097715,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=48
17,241,1.0,132.26965099966037,150.21114199953445,152.68646300137334,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=48
18,243,1.0,130.55104299928644,149.85953100040206,154.40753099937865,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=50
19,236,1.0,134.8434219999035,152.32308200029365,155.56285700040462,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=46;qwen15b-npu7=47
20,237,1.0,134.49093100098253,148.06927199970232,153.7605089997669,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=47
21,238,1.0,133.98148900159867,148.9244169988524,152.98279499984346,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=48
22,242,1.0,133.87844800126913,150.32617199904053,157.36711499994271,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
23,239,1.0,132.0515199986403,151.67588900112605,154.9853839987918,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=47
24,236,1.0,133.3474759994715,154.9560740004381,162.54200799994578,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=46;qwen15b-npu7=47
25,242,1.0,131.207465999978,149.0655269990384,155.5902669988427,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
26,240,1.0,131.74700899980962,149.68790000057197,155.18377499938651,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
27,233,1.0,133.80606700047792,178.4414409994497,264.70913299999665,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=46;qwen15b-npu7=46
28,243,1.0,130.65123399974254,146.07758300007845,156.9718129994726,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
29,245,1.0,132.33657100136043,147.04226800131437,151.8346200009546,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=50
30,235,1.0,133.30541499999526,153.12628500032588,158.56106999854092,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=47
31,242,1.0,132.02678999914497,147.61605000057898,153.49408800102537,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=48
32,241,1.0,134.03025900151988,150.58816400051,162.76980900147464,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=48
33,232,1.0,136.1837780004862,158.7714910001523,169.7891610001534,qwen15b-npu3=45;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=46;qwen15b-npu7=47
34,223,1.0,140.05275599993183,164.80003899960138,171.01878699941153,qwen15b-npu3=45;qwen15b-npu4=45;qwen15b-npu5=44;qwen15b-npu6=45;qwen15b-npu7=44
35,228,1.0,139.75738499902945,162.43357799976366,172.45916399951966,qwen15b-npu3=42;qwen15b-npu4=47;qwen15b-npu5=46;qwen15b-npu6=46;qwen15b-npu7=47
36,215,1.0,137.49171500057855,242.29736100096488,277.2191099993506,qwen15b-npu3=45;qwen15b-npu4=42;qwen15b-npu5=43;qwen15b-npu6=42;qwen15b-npu7=43
37,226,1.0,139.13480200062622,174.00765099955606,181.90910699922824,qwen15b-npu3=46;qwen15b-npu4=45;qwen15b-npu5=46;qwen15b-npu6=45;qwen15b-npu7=44
38,224,1.0,140.10150600006455,170.02654200041434,178.72913199971663,qwen15b-npu3=44;qwen15b-npu4=46;qwen15b-npu5=44;qwen15b-npu6=45;qwen15b-npu7=45
39,238,1.0,134.52514100026747,158.17357899868512,163.75460400013253,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=47
40,237,1.0,132.7231830000528,149.5926400002645,155.35783599989372,qwen15b-npu3=47;qwen15b-npu4=46;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=48
41,238,1.0,133.06345399905695,153.9462589989853,160.2921880003123,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=46;qwen15b-npu7=48
42,241,1.0,133.0496039990976,155.11286400032986,161.96219499943254,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
43,228,1.0,131.54770800065307,208.16158600064227,292.4096880014986,qwen15b-npu3=45;qwen15b-npu4=45;qwen15b-npu5=47;qwen15b-npu6=45;qwen15b-npu7=46
44,240,1.0,130.97953500073345,150.50644400071178,154.8535029996856,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=47
45,231,1.0,135.30164499934472,161.56713400050648,179.20912400040834,qwen15b-npu3=46;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=45;qwen15b-npu7=46
46,236,1.0,136.43236000098113,150.5560140012676,158.03901800063613,qwen15b-npu3=46;qwen15b-npu4=47;qwen15b-npu5=46;qwen15b-npu6=49;qwen15b-npu7=48
47,237,1.0,134.39419099995575,158.10878799857164,163.650462998703,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=47
48,235,1.0,136.35701000021072,154.24761099893658,161.59958400021424,qwen15b-npu3=46;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=47
49,236,1.0,133.6392569992313,150.94612600114488,155.40853600032278,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=46;qwen15b-npu7=47
50,244,1.0,131.33906700022635,149.58595899952343,159.29420300017227,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=50
51,239,1.0,130.4424830013886,150.01012200082187,155.5939270001545,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=47
52,244,1.0,133.71042700055114,147.82322099927114,154.22704100092233,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=48
53,237,1.0,133.47211600012088,147.49857999959204,152.47908200035454,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=48
54,239,1.0,134.95105299989518,152.45899299952725,160.27897900130483,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
55,236,1.0,133.25644500037015,149.18123799907335,154.8852830001124,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=46
56,245,1.0,131.2581960009993,148.9763369991124,155.4980170003546,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
57,238,1.0,134.23712000076193,151.1372670011042,156.82566199939174,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=49
58,244,1.0,129.57564899988938,147.31240899891418,155.68896699915058,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
59,230,1.0,128.37466299970401,145.45418099987728,169.3346690008184,qwen15b-npu3=46;qwen15b-npu4=46;qwen15b-npu5=46;qwen15b-npu6=46;qwen15b-npu7=46
