second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,253,1.0,129.57096099853516,148.98318098858,187.12548771873116,qwen15b-npu3=50;qwen15b-npu4=52;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=49
1,250,1.0,127.17595510184765,143.09364184737206,148.45809806138277,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=51
2,249,1.0,128.84932616725564,144.60208220407367,153.0090789310634,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=50;qwen15b-npu7=50
3,248,1.0,130.50025794655085,146.05798199772835,155.299233738333,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
4,247,1.0,127.05491483211517,146.25721331685781,156.3300909474492,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
5,242,1.0,132.02786725014448,148.11799488961697,152.97647891566157,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=46;qwen15b-npu6=48;qwen15b-npu7=47
6,250,1.0,129.6162810176611,144.8081941343844,149.99905787408352,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=52;qwen15b-npu6=52;qwen15b-npu7=51
7,246,1.0,129.7132121399045,146.01858193054795,153.58240297064185,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=46;qwen15b-npu7=50
8,245,1.0,129.09260811284184,146.94499783217907,152.8280978091061,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
9,251,1.0,126.66972167789936,148.63491896539927,152.40062400698662,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=52;qwen15b-npu7=49
10,243,1.0,129.14049811661243,149.46098485961556,158.5176857188344,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=49
11,244,1.0,130.29744615778327,151.2770471163094,160.15808703377843,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=52;qwen15b-npu6=47;qwen15b-npu7=47
12,245,1.0,130.8410898782313,150.88594425469637,156.3485306687653,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=45;qwen15b-npu6=51;qwen15b-npu7=50
13,237,1.0,130.81661006435752,154.5294290408492,171.23686103150249,qwen15b-npu3=47;qwen15b-npu4=45;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=48
14,249,1.0,129.93889395147562,146.23646344989538,153.32836098968983,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=49
15,246,1.0,130.31419599428773,146.5970859862864,151.30494674667716,qwen15b-npu3=48;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=50
16,247,1.0,130.47520676627755,150.95088491216302,160.1424259133637,qwen15b-npu3=51;qwen15b-npu4=45;qwen15b-npu5=52;qwen15b-npu6=49;qwen15b-npu7=50
17,247,1.0,127.98552960157394,148.54685869067907,159.24131032079458,qwen15b-npu3=48;qwen15b-npu4=52;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=49
18,246,1.0,127.76379939168692,147.43933081626892,160.3046883828938,qwen15b-npu3=50;qwen15b-npu4=52;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=49
19,247,1.0,129.22895792871714,147.58383203297853,154.57857912406325,qwen15b-npu3=50;qwen15b-npu4=47;qwen15b-npu5=51;qwen15b-npu6=50;qwen15b-npu7=49
20,246,1.0,128.15687200054526,146.7842971906066,156.75371419638395,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
21,247,1.0,129.86451340839267,146.7824256978929,157.39922784268856,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=52;qwen15b-npu6=49;qwen15b-npu7=49
22,248,1.0,127.14696489274502,143.6478761024773,148.27652694657445,qwen15b-npu3=48;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
23,243,1.0,131.9578569382429,155.05226189270616,158.6782867088914,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=50
24,239,1.0,132.06066796556115,157.70969027653337,166.98504285886884,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=45;qwen15b-npu6=48;qwen15b-npu7=49
25,245,1.0,129.8436028882861,146.742335986346,154.77987099438906,qwen15b-npu3=50;qwen15b-npu4=47;qwen15b-npu5=52;qwen15b-npu6=48;qwen15b-npu7=48
26,251,1.0,126.87857309356332,142.56062917411327,151.74639085307717,qwen15b-npu3=46;qwen15b-npu4=52;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=52
27,246,1.0,129.1359681636095,143.6221362091601,156.22723009437323,qwen15b-npu3=52;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=45
28,244,1.0,130.65718812868,151.78899094462395,159.37005076557398,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=51
29,251,0.9960159362549801,128.23163159191608,149.50375631451607,157.9326819628477,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=54;qwen15b-npu6=48;qwen15b-npu7=48
30,220,1.0,135.3928497992456,153.2660098746419,163.62430015578866,qwen15b-npu3=53;qwen15b-npu4=57;qwen15b-npu6=54;qwen15b-npu7=56
31,232,1.0,132.2633889503777,150.32729087397456,154.93096224963665,qwen15b-npu3=58;qwen15b-npu4=57;qwen15b-npu6=57;qwen15b-npu7=60
32,228,1.0,131.7994766868651,148.66859978064895,158.0553431995213,qwen15b-npu3=57;qwen15b-npu4=57;qwen15b-npu6=59;qwen15b-npu7=55
33,224,1.0,136.0124247148633,152.39565493538976,158.1879728473723,qwen15b-npu3=56;qwen15b-npu4=56;qwen15b-npu6=56;qwen15b-npu7=56
34,221,1.0,133.30566743388772,150.6865629926324,157.7430898323655,qwen15b-npu3=56;qwen15b-npu4=56;qwen15b-npu6=54;qwen15b-npu7=55
35,226,1.0,137.63784524053335,150.40429215878248,154.94227223098278,qwen15b-npu3=56;qwen15b-npu4=56;qwen15b-npu6=58;qwen15b-npu7=56
36,224,1.0,135.35244017839432,147.85514399409294,151.69244026765227,qwen15b-npu3=56;qwen15b-npu4=56;qwen15b-npu6=56;qwen15b-npu7=56
37,223,1.0,136.77154015749693,152.1077728830278,158.36121467873454,qwen15b-npu3=55;qwen15b-npu4=57;qwen15b-npu6=56;qwen15b-npu7=55
38,221,1.0,138.75617319718003,158.71753683313727,165.97900493070483,qwen15b-npu3=55;qwen15b-npu4=55;qwen15b-npu6=54;qwen15b-npu7=57
39,230,1.0,135.82176296040416,148.80700036883354,156.51671309024096,qwen15b-npu3=59;qwen15b-npu4=56;qwen15b-npu6=58;qwen15b-npu7=57
40,235,0.9914893617021276,137.53493502736092,157.37265814095736,164.05168268829584,qwen15b-npu3=57;qwen15b-npu4=60;qwen15b-npu5=2;qwen15b-npu6=57;qwen15b-npu7=59
41,242,1.0,135.2270790375769,148.51815905421972,151.14828711375594,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=63;qwen15b-npu7=58
42,245,1.0,131.15374092012644,146.19621308520436,151.48621797561646,qwen15b-npu3=60;qwen15b-npu4=63;qwen15b-npu6=62;qwen15b-npu7=60
43,238,1.0,135.7526029460132,150.44218115508556,152.48937532305717,qwen15b-npu3=61;qwen15b-npu4=58;qwen15b-npu6=57;qwen15b-npu7=62
44,244,1.0,133.44486709684134,147.73335307836533,154.7559699974954,qwen15b-npu3=61;qwen15b-npu4=63;qwen15b-npu6=61;qwen15b-npu7=59
45,234,1.0,135.67782193422318,150.51223197951913,159.41053163260221,qwen15b-npu3=57;qwen15b-npu4=58;qwen15b-npu6=59;qwen15b-npu7=60
46,239,1.0,136.71110896393657,153.52965192869306,162.8115950152278,qwen15b-npu3=62;qwen15b-npu4=59;qwen15b-npu6=60;qwen15b-npu7=58
47,251,1.0,133.41889716684818,146.88998693600297,151.2218271382153,qwen15b-npu3=61;qwen15b-npu4=63;qwen15b-npu6=62;qwen15b-npu7=65
48,237,1.0,131.1665908433497,148.1152162887156,153.02665904164314,qwen15b-npu3=60;qwen15b-npu4=60;qwen15b-npu6=61;qwen15b-npu7=56
49,245,1.0,132.16867903247476,148.3832667581737,158.58134580776095,qwen15b-npu3=63;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=62
50,248,1.0,131.14909222349524,149.00075225159526,152.8110378421843,qwen15b-npu3=61;qwen15b-npu4=64;qwen15b-npu6=61;qwen15b-npu7=62
51,242,1.0,130.3401361219585,147.0635486766696,154.63794860988855,qwen15b-npu3=60;qwen15b-npu4=59;qwen15b-npu6=62;qwen15b-npu7=61
52,249,1.0,130.2713956683874,149.97439784929156,155.30754392966628,qwen15b-npu3=62;qwen15b-npu4=63;qwen15b-npu6=62;qwen15b-npu7=62
53,246,1.0,133.80481023341417,148.37283780798316,153.41286174952984,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=62;qwen15b-npu7=61
54,238,1.0,133.1218951381743,151.88160119578242,161.57376719638705,qwen15b-npu3=60;qwen15b-npu4=59;qwen15b-npu6=58;qwen15b-npu7=61
55,242,1.0,133.12304485589266,153.70797319337726,166.50002915412188,qwen15b-npu3=58;qwen15b-npu4=64;qwen15b-npu6=61;qwen15b-npu7=59
56,238,1.0,136.03533385321498,151.22106717899442,156.55245212838054,qwen15b-npu3=60;qwen15b-npu4=57;qwen15b-npu6=60;qwen15b-npu7=61
