ts,status,latency_ms,backend,error
1782498770.1993997,200,117.5199206918478,default-npu4,
1782498770.2209778,200,136.56414905562997,default-npu3,
1782498770.2230759,200,133.62516881898046,default-npu4,
1782498770.2238295,200,137.9345483146608,default-npu4,
1782498770.224096,200,138.88450432568789,default-npu4,
1782498770.224471,200,134.27554303780198,default-npu4,
1782498770.2247944,200,137.23596185445786,default-npu4,
1782498770.2525606,200,170.18413404002786,default-npu3,
1782498770.2530305,200,164.53240625560284,default-npu3,
1782498770.2534344,200,170.37194594740868,default-npu3,
1782498770.2537317,200,173.23298519477248,default-npu3,
1782498770.2540004,200,170.25750502943993,default-npu3,
1782498770.2692783,200,173.27288491651416,default-npu4,
1782498770.2699778,200,169.67324120923877,default-npu4,
1782498770.2703438,200,172.76500072330236,default-npu4,
1782498770.3182576,200,217.28073107078671,default-npu4,
1782498770.3185763,200,225.1097741536796,default-npu4,
1782498770.318852,200,215.2292369864881,default-npu4,
1782498770.3194807,200,217.90261520072818,default-npu4,
1782498770.319828,200,224.4665687903762,default-npu4,
1782498770.320204,200,120.67914195358753,default-npu4,
1782498770.3205929,200,226.5012920834124,default-npu4,
1782498770.3226283,200,229.63796416297555,default-npu3,
1782498770.3396404,200,114.77664113044739,default-npu4,
1782498770.3399403,200,118.85453900322318,default-npu4,
1782498770.3408954,200,116.68962519615889,default-npu4,
1782498770.3411624,200,116.59348383545876,default-npu4,
1782498770.3794787,200,276.6914200037718,default-npu3,
1782498770.385701,200,116.27854220569134,default-npu4,
1782498770.386074,200,131.95648789405823,default-npu4,
1782498770.3869073,200,133.75992886722088,default-npu4,
1782498770.3876336,200,134.93638718500733,default-npu4,
1782498770.4147232,200,191.50202674791217,default-npu3,
1782498770.4150155,200,315.79688331112266,default-npu3,
1782498770.415422,200,317.1277120709419,default-npu3,
1782498770.416375,200,314.20267187058926,default-npu3,
1782498770.417156,200,320.3633539378643,default-npu3,
1782498770.4175375,200,325.007155071944,default-npu3,
1782498770.418405,200,313.94103076308966,default-npu3,
1782498770.4188411,200,328.0422557145357,default-npu3,
1782498770.4192588,200,324.66256292536855,default-npu3,
1782498770.4209735,200,329.3211041018367,default-npu3,
1782498770.4331565,200,114.20172778889537,default-npu4,
1782498770.4335232,200,113.94445598125458,default-npu4,
1782498770.4338703,200,113.9389961026609,default-npu4,
1782498770.4342492,200,113.56849316507578,default-npu4,
1782498770.4434617,200,173.37351478636265,default-npu3,
1782498770.44385,200,190.3442800976336,default-npu3,
1782498770.4442346,200,173.82377898320556,default-npu3,
1782498770.444968,200,221.07019694522023,default-npu3,
1782498770.4453473,200,191.55071815475821,default-npu3,
1782498770.455812,200,115.76685775071383,default-npu4,
1782498770.4565294,200,115.30369473621249,default-npu4,
1782498770.4701886,200,149.8607569374144,default-npu3,
1782498770.4706829,200,147.95701391994953,default-npu3,
1782498770.4710712,200,152.43103494867682,default-npu3,
1782498770.4713435,200,152.9800989665091,default-npu3,
1782498770.4948347,200,153.85126508772373,default-npu3,
1782498770.4953842,200,155.66283697262406,default-npu3,
1782498770.5024104,200,115.39905611425638,default-npu4,
1782498770.5027835,200,123.19017807021737,default-npu4,
1782498770.524628,200,136.92517997696996,default-npu3,
1782498770.52492,200,138.73139303177595,default-npu3,
1782498770.5251975,200,139.39063670113683,default-npu3,
1782498770.5263407,200,111.19995778426528,default-npu4,
1782498770.5551627,200,136.6643779911101,default-npu4,
1782498770.5556018,200,140.81071596592665,default-npu4,
1782498770.5560408,200,121.6706377454102,default-npu4,
1782498770.5564334,200,140.8881270326674,default-npu3,
1782498770.5567348,200,135.67198207601905,default-npu4,
1782498770.557803,200,138.4223299100995,default-npu3,
1782498770.5586257,200,139.67783888801932,default-npu3,
1782498770.5589921,200,142.52794766798615,default-npu4,
1782498770.559499,200,141.83669397607446,default-npu3,
1782498770.5603986,200,143.14044313505292,default-npu4,
1782498770.5787208,200,133.2466760650277,default-npu4,
1782498770.5791335,200,135.16196887940168,default-npu4,
1782498770.5797822,200,135.47501107677817,default-npu4,
