second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,224,1.0,137.3637830838561,226.5012920834124,325.007155071944,default-npu3=112;default-npu4=112
1,231,1.0,129.66475170105696,189.9231867864728,206.28567691892385,default-npu3=115;default-npu4=116
2,241,1.0,132.65174208208919,155.1451231352985,183.1780318170786,default-npu3=119;default-npu4=122
3,248,1.0,129.85914293676615,146.18269307538867,152.40016533061862,default-npu3=125;default-npu4=123
4,233,1.0,133.58571799471974,186.32036307826638,203.60583905130625,default-npu3=115;default-npu4=118
5,232,1.0,135.41040988638997,189.49730368331075,203.45792826265097,default-npu3=115;default-npu4=117
6,232,1.0,137.89147697389126,154.09778617322445,160.28057830408216,default-npu3=117;default-npu4=115
7,232,1.0,135.21531876176596,178.42088034376502,197.6311788894236,default-npu3=115;default-npu4=117
8,239,1.0,132.76050332933664,149.64328613132238,153.9522148668766,default-npu3=120;default-npu4=119
9,237,1.0,135.1849092170596,154.2541873641312,165.27397092431784,default-npu3=118;default-npu4=119
10,240,1.0,132.28801917284727,149.76056711748242,155.38438502699137,default-npu3=118;default-npu4=122
11,236,1.0,131.0409912839532,149.4245147332549,153.86301511898637,default-npu3=119;default-npu4=117
12,241,1.0,132.54675129428506,177.2156609222293,196.12969877198339,default-npu3=121;default-npu4=120
13,233,1.0,133.47322726622224,179.96694007888436,190.81142311915755,default-npu3=116;default-npu4=117
14,234,1.0,136.8545200675726,161.21011413633823,165.80419382080436,default-npu3=115;default-npu4=119
15,235,1.0,138.28662969172,155.30910529196262,166.5370799601078,default-npu3=118;default-npu4=117
16,228,1.0,135.51389100030065,163.3282583206892,173.3751860447228,default-npu3=114;default-npu4=114
17,243,1.0,133.52353777736425,151.93224092945457,157.90980216115713,default-npu3=121;default-npu4=122
18,241,1.0,133.21128580719233,149.44536425173283,165.04386020824313,default-npu3=118;default-npu4=123
19,225,1.0,134.30916285142303,188.84469009935856,202.85862358286977,default-npu3=115;default-npu4=110
20,243,1.0,131.01569097489119,150.99637489765882,155.02947196364403,default-npu3=118;default-npu4=125
21,240,1.0,134.00705996900797,152.9150982387364,159.2426709830761,default-npu3=121;default-npu4=119
22,238,1.0,132.93930375948548,178.93047304823995,191.02561473846436,default-npu3=121;default-npu4=117
23,243,1.0,129.00997698307037,144.67726182192564,153.67747331038117,default-npu3=119;default-npu4=124
24,242,1.0,130.75543893501163,146.53665525838733,150.89501393958926,default-npu3=122;default-npu4=120
25,249,1.0,130.02920523285866,144.96254501864314,151.42097789794207,default-npu3=124;default-npu4=125
26,236,1.0,133.0451751127839,151.49631910026073,159.98666500672698,default-npu3=118;default-npu4=118
27,239,1.0,133.3095571026206,153.1103802844882,158.99848891422153,default-npu3=119;default-npu4=120
28,243,1.0,133.13083490356803,150.22005001083016,154.8665319569409,default-npu3=122;default-npu4=121
29,237,1.0,133.90803011134267,153.3628711476922,156.6018434241414,default-npu3=120;default-npu4=117
30,240,1.0,134.82365617528558,150.385111104697,161.3726750947535,default-npu3=118;default-npu4=122
31,234,1.0,134.404004085809,155.6015769019723,186.07846135273576,default-npu3=114;default-npu4=120
32,232,1.0,131.4647044055164,191.57755794003606,205.32213104888797,default-npu3=119;default-npu4=113
33,248,1.0,130.9787011705339,143.2656329125166,149.1144523024559,default-npu3=121;default-npu4=127
34,236,1.0,135.15087822452188,148.04995525628328,151.9533507525921,default-npu3=120;default-npu4=116
35,239,1.0,134.30968299508095,149.27293360233307,155.3279347717762,default-npu3=119;default-npu4=120
36,219,1.0,134.46175400167704,192.9266769438982,210.89403796941042,default-npu3=112;default-npu4=107
37,244,1.0,133.2523450255394,158.28789491206408,174.83818624168634,default-npu3=117;default-npu4=127
38,246,1.0,130.14682522043586,148.36095785722136,154.32990714907646,default-npu3=125;default-npu4=121
39,239,1.0,131.75383629277349,146.65761590003967,151.47031797096133,default-npu3=118;default-npu4=121
40,244,1.0,132.80782289803028,147.14125962927938,153.40816089883447,default-npu3=122;default-npu4=122
41,234,1.0,136.05211535468698,158.63574715331197,164.971929974854,default-npu3=117;default-npu4=117
42,227,1.0,136.55796833336353,190.5897012911737,204.7645361162722,default-npu3=114;default-npu4=113
43,234,1.0,133.7856100872159,159.61219277232885,163.01573626697063,default-npu3=116;default-npu4=118
44,235,1.0,134.80184599757195,169.1786078736186,194.8714703321457,default-npu3=116;default-npu4=119
45,243,1.0,132.63605209067464,153.14137982204556,156.62084333598614,default-npu3=122;default-npu4=121
46,227,1.0,131.87578693032265,175.66633131355047,203.1956659629941,default-npu3=112;default-npu4=115
47,226,1.0,141.3480001501739,182.93626001104712,187.975883949548,default-npu3=113;default-npu4=113
48,230,1.0,136.94939110428095,168.00315910950303,181.41911970451474,default-npu3=114;default-npu4=116
49,234,1.0,135.18709922209382,151.2242266908288,165.81569518893957,default-npu3=119;default-npu4=115
50,231,1.0,134.3264733441174,180.58114405721426,192.53480527549982,default-npu3=112;default-npu4=119
51,239,1.0,130.4330569691956,149.94920836761594,163.691861089319,default-npu3=118;default-npu4=121
52,226,1.0,140.3327537700534,189.01388114318252,203.948930837214,default-npu3=115;default-npu4=111
53,228,1.0,135.58486057445407,176.49258580058813,184.34819905087352,default-npu3=116;default-npu4=112
54,236,1.0,134.2978528700769,156.0868490487337,162.0876002125442,default-npu3=120;default-npu4=116
55,229,1.0,138.44795105978847,186.4948240108788,193.55596089735627,default-npu3=109;default-npu4=120
56,240,1.0,135.3234788402915,146.81307692080736,152.47992472723126,default-npu3=122;default-npu4=118
57,235,1.0,133.98469099774957,182.0266437716782,201.0239721275866,default-npu3=119;default-npu4=116
58,236,1.0,135.62038214877248,152.5408448651433,157.6869199052453,default-npu3=115;default-npu4=121
59,229,1.0,138.81039386615157,165.09868018329144,169.89333182573318,default-npu3=113;default-npu4=116
60,235,1.0,136.5210977382958,153.28598022460938,158.31751376390457,default-npu3=119;default-npu4=116
61,232,1.0,133.85360036045313,182.21189500764012,198.16484302282333,default-npu3=113;default-npu4=119
62,234,1.0,131.5674246288836,159.6993738785386,168.3673718944192,default-npu3=118;default-npu4=116
