second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,258,1.0,127.5318069383502,149.73969478160143,178.95635915920138,qwen15b-npu3=52;qwen15b-npu4=52;qwen15b-npu5=53;qwen15b-npu6=48;qwen15b-npu7=53
1,246,1.0,128.12246102839708,146.6944240964949,152.12923986837268,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=53;qwen15b-npu7=48
2,246,1.0,126.5950407832861,151.14921377971768,160.8800389803946,qwen15b-npu3=51;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=49
3,249,1.0,127.65788799151778,148.14441418275237,154.9127190373838,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=53;qwen15b-npu7=48
4,242,1.0,131.45557278767228,151.55871724709868,155.37501219660044,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=46;qwen15b-npu7=51
5,251,1.0,127.79631884768605,148.71048694476485,154.06004432588816,qwen15b-npu3=52;qwen15b-npu4=51;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=48
6,245,1.0,129.64308122172952,150.38420911878347,157.7052171342075,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=51
7,250,1.0,126.8257130868733,143.7812950462103,146.76541509106755,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
8,245,1.0,128.68853379040956,155.83673492074013,173.484121914953,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
9,254,1.0,128.5830237902701,144.42805014550686,149.54393403604627,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=52
10,243,1.0,128.52809391915798,150.26663802564144,156.65175020694733,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=47
11,252,1.0,127.16791406273842,144.30412789806724,148.38143484666944,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=52
12,254,1.0,128.71532514691353,144.08820774406195,154.80716805905104,qwen15b-npu3=52;qwen15b-npu4=50;qwen15b-npu5=52;qwen15b-npu6=51;qwen15b-npu7=49
13,238,1.0,130.48556726425886,151.32555505260825,161.18323104456067,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=48
