second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,258,1.0,127.64141755178571,154.51272623613477,159.58037041127682,qwen15b-npu3=52;qwen15b-npu4=52;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=52
1,246,1.0,128.57487378641963,147.60058093816042,153.00740720704198,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=52;qwen15b-npu6=49;qwen15b-npu7=48
2,249,1.0,126.8830830231309,146.90430602058768,151.00326342508197,qwen15b-npu3=52;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=50
3,245,1.0,133.87620029971004,147.3889290355146,159.39195780083537,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
4,248,1.0,126.81847205385566,146.92488638684154,160.46840604394674,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=48;qwen15b-npu7=50
5,249,1.0,129.6219606883824,145.6764480099082,152.20020106062293,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=48
6,239,1.0,131.14026095718145,148.39680632576346,153.03402673453093,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=46;qwen15b-npu6=49;qwen15b-npu7=47
7,251,1.0,128.9125462062657,147.2357576712966,154.16061412543058,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=53
8,249,1.0,127.00852332636714,146.28023141995072,154.54160561785102,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=48
9,245,1.0,131.7001753486693,145.5537872388959,148.89307925477624,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=51
10,249,1.0,127.87709990516305,148.61661661416292,154.8020876944065,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=52;qwen15b-npu6=50;qwen15b-npu7=46
11,242,1.0,130.9703798033297,155.47613287344575,161.63422400131822,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=50
12,247,1.0,130.8543891645968,150.6746611557901,158.45730295404792,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=51
13,240,1.0,129.59669018164277,153.7498622201383,162.0575156994164,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=47
14,246,1.0,129.66015096753836,148.86933891102672,158.38835202157497,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
15,250,1.0,129.42317919805646,145.47963719815016,157.44074573740363,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
16,242,1.0,130.99437998607755,150.95717273652554,156.31089825183153,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
17,245,1.0,128.21276066824794,149.75283481180668,154.1750142350793,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
18,247,1.0,130.34765608608723,144.5087492465973,148.78733828663826,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
