second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,93,1.0,132.986364998942,195.41178299914463,240.75836699921638,qwen7b-npu3=6;qwen7b-npu4=22;qwen7b-npu5=21;qwen7b-npu6=22;qwen7b-npu7=22
1,95,1.0,126.25144400226418,177.8473260019382,179.6443970015389,qwen7b-npu3=1;qwen7b-npu4=24;qwen7b-npu5=25;qwen7b-npu6=21;qwen7b-npu7=24
2,91,1.0,129.70182500066585,210.86615600142977,221.6918119993352,qwen7b-npu3=1;qwen7b-npu4=19;qwen7b-npu5=24;qwen7b-npu6=27;qwen7b-npu7=20
3,96,1.0,133.26687599692377,180.45443200026057,194.54756699997233,qwen7b-npu3=2;qwen7b-npu4=25;qwen7b-npu5=22;qwen7b-npu6=22;qwen7b-npu7=25
4,92,1.0,128.3331270024064,201.7318010002782,226.44002000015462,qwen7b-npu3=1;qwen7b-npu4=24;qwen7b-npu5=22;qwen7b-npu6=22;qwen7b-npu7=23
5,101,1.0,105.86626100121066,173.8255720010784,176.20311599966954,qwen7b-npu3=4;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=25;qwen7b-npu7=25
6,100,1.0,125.41015900205821,176.4317380002467,184.3347560024995,qwen7b-npu3=1;qwen7b-npu4=22;qwen7b-npu5=27;qwen7b-npu6=25;qwen7b-npu7=25
7,93,1.0,109.00479999691015,179.67945800046436,186.33075800244114,qwen7b-npu3=2;qwen7b-npu4=24;qwen7b-npu5=20;qwen7b-npu6=24;qwen7b-npu7=23
8,99,1.0,111.55150500053423,181.50029800017364,188.59947099917918,qwen7b-npu3=1;qwen7b-npu4=24;qwen7b-npu5=26;qwen7b-npu6=24;qwen7b-npu7=24
9,99,1.0,107.06362800192437,184.64616799974465,218.88703500007978,qwen7b-npu3=3;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=24
10,94,1.0,105.32670700195013,186.0078860008798,220.96286799933296,qwen7b-npu3=3;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=21;qwen7b-npu7=23
11,100,1.0,122.21810000119149,183.5737010005687,205.75007500156062,qwen7b-npu3=4;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=26;qwen7b-npu7=24
12,95,1.0,114.55201399803627,183.5912710012053,219.4532680005068,qwen7b-npu3=8;qwen7b-npu4=18;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=22
13,95,1.0,118.91978000130621,219.86095000102068,238.43120300080045,qwen7b-npu3=2;qwen7b-npu4=25;qwen7b-npu5=20;qwen7b-npu6=23;qwen7b-npu7=25
14,93,1.0,128.37458699868876,177.19980200126884,185.92090499805636,qwen7b-npu3=5;qwen7b-npu4=21;qwen7b-npu5=25;qwen7b-npu6=19;qwen7b-npu7=23
15,103,1.0,119.03538999831653,168.6644610017538,179.77555899778963,qwen7b-npu3=8;qwen7b-npu4=24;qwen7b-npu5=22;qwen7b-npu6=24;qwen7b-npu7=25
16,103,1.0,103.16791399964131,156.63928799767746,210.26155200161156,qwen7b-npu3=8;qwen7b-npu4=25;qwen7b-npu5=23;qwen7b-npu6=25;qwen7b-npu7=22
17,89,1.0,129.16107199998805,175.34866200003307,182.87172700001975,qwen7b-npu3=2;qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=21;qwen7b-npu7=24
18,95,1.0,129.43771299978835,174.16441399836913,182.78390600244165,qwen7b-npu3=5;qwen7b-npu4=24;qwen7b-npu5=21;qwen7b-npu6=24;qwen7b-npu7=21
19,91,1.0,134.1872519988101,178.8783730007708,186.61538000014843,qwen7b-npu3=1;qwen7b-npu4=24;qwen7b-npu5=22;qwen7b-npu6=21;qwen7b-npu7=23
20,98,1.0,133.98985100138816,162.93985599986627,178.43657000048552,qwen7b-npu3=5;qwen7b-npu4=20;qwen7b-npu5=28;qwen7b-npu6=24;qwen7b-npu7=21
21,99,1.0,107.08447899742168,173.52939999909722,182.52935499913292,qwen7b-npu3=3;qwen7b-npu4=26;qwen7b-npu5=22;qwen7b-npu6=22;qwen7b-npu7=26
22,96,1.0,126.46345599932829,178.7112319980224,186.36394799978007,qwen7b-npu3=3;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=26;qwen7b-npu7=20
23,91,1.0,136.41642600123305,179.28669499815442,183.24518900044495,qwen7b-npu3=1;qwen7b-npu4=24;qwen7b-npu5=21;qwen7b-npu6=19;qwen7b-npu7=26
24,94,1.0,128.2331959992007,178.83745200015255,185.88731500130962,qwen7b-npu3=11;qwen7b-npu4=19;qwen7b-npu5=19;qwen7b-npu6=25;qwen7b-npu7=20
25,99,1.0,126.69314599770587,179.21944499903475,187.53484499757178,qwen7b-npu3=3;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=25
26,90,1.0,127.12477999957628,214.9545409993152,240.2907139985473,qwen7b-npu3=5;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=18;qwen7b-npu7=19
27,94,1.0,128.14950499887345,179.96275900077308,225.54836500057718,qwen7b-npu3=4;qwen7b-npu4=20;qwen7b-npu5=19;qwen7b-npu6=26;qwen7b-npu7=25
28,98,1.0,130.7544709998183,170.34018100093817,184.87087900211918,qwen7b-npu3=5;qwen7b-npu4=23;qwen7b-npu5=25;qwen7b-npu6=24;qwen7b-npu7=21
29,91,1.0,125.2725480007939,186.29707699801656,226.32390999933705,qwen7b-npu3=2;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=19
30,96,1.0,125.637609999103,177.00333099855925,181.25415699978475,qwen7b-npu3=4;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=21
31,94,1.0,126.75934700018843,196.2763379997341,256.9268050028768,qwen7b-npu3=4;qwen7b-npu4=25;qwen7b-npu5=21;qwen7b-npu6=20;qwen7b-npu7=24
32,97,1.0,109.91621499852045,184.0551540008164,230.82400700150174,qwen7b-npu3=3;qwen7b-npu4=19;qwen7b-npu5=23;qwen7b-npu6=26;qwen7b-npu7=26
33,97,1.0,110.10918600004516,190.81621499935864,211.60634999978356,qwen7b-npu3=5;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=22;qwen7b-npu7=23
34,96,1.0,119.98728600156028,188.91739399987273,210.3926230010984,qwen7b-npu3=5;qwen7b-npu4=25;qwen7b-npu5=24;qwen7b-npu6=21;qwen7b-npu7=21
35,91,1.0,134.40913400336285,210.9995169994363,219.7145290010667,qwen7b-npu3=1;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=25;qwen7b-npu7=17
36,95,1.0,111.06009200011613,197.49032499748864,215.89923599822214,qwen7b-npu3=2;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=17;qwen7b-npu7=29
37,103,1.0,112.72135200124467,175.52986199734733,181.49589899985585,qwen7b-npu3=5;qwen7b-npu4=25;qwen7b-npu5=23;qwen7b-npu6=27;qwen7b-npu7=23
38,94,1.0,127.11976900027366,214.82435000143596,225.34075400108122,qwen7b-npu3=5;qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=20
