ts,status,latency_ms,backend,error
1782584783.6523983,200,90.10410500195576,qwen7b-npu5,
1782584783.676433,200,112.2063889997662,qwen7b-npu5,
1782584783.6916723,200,132.24759099830408,qwen7b-npu4,
1782584783.6941628,200,133.39366799846175,qwen7b-npu7,
1782584783.6959069,200,141.36180500281625,qwen7b-npu6,
1782584783.7181993,200,156.751518999954,qwen7b-npu4,
1782584783.7184496,200,158.42782899926533,qwen7b-npu4,
1782584783.7222676,200,158.5429299993848,qwen7b-npu7,
1782584783.7227242,200,159.64872599943192,qwen7b-npu7,
1782584783.7229826,200,165.588341998955,qwen7b-npu7,
1782584783.724733,200,168.18630800116807,qwen7b-npu6,
1782584783.7249575,200,168.99421299967798,qwen7b-npu6,
1782584783.7415032,200,88.99545899839723,qwen7b-npu4,
1782584783.7598984,200,83.39627399982419,qwen7b-npu5,
1782584783.807422,200,89.14925899807713,qwen7b-npu7,
1782584783.8085701,200,116.81034700086457,qwen7b-npu6,
1782584783.8237977,200,127.83178300014697,qwen7b-npu5,
1782584783.8279717,200,133.7486890006403,qwen7b-npu4,
1782584783.832533,200,110.20154700236162,qwen7b-npu7,
1782584783.83752,200,95.94628999911947,qwen7b-npu6,
1782584783.8494296,200,126.37948500196217,qwen7b-npu5,
1782584783.8541908,200,131.39661500099464,qwen7b-npu4,
1782584783.854549,200,136.0409829976561,qwen7b-npu4,
1782584783.8765512,200,151.75876799912658,qwen7b-npu5,
1782584783.876877,200,151.84530899932724,qwen7b-npu5,
1782584783.9060602,200,146.09740399828297,qwen7b-npu6,
1782584783.948607,200,139.96728699930827,qwen7b-npu4,
1782584783.9525113,200,124.4789429983939,qwen7b-npu7,
1782584783.9596677,200,82.71439999953145,qwen7b-npu5,
1782584783.961951,200,154.4653950004431,qwen7b-npu6,
1782584783.9622638,200,138.39830700089806,qwen7b-npu6,
1782584783.9794092,200,146.80912900075782,qwen7b-npu7,
1782584783.9797847,200,130.26145800176891,qwen7b-npu7,
1782584783.989443,200,151.77219900215277,qwen7b-npu6,
1782584783.9916794,200,137.3746110002685,qwen7b-npu4,
1782584783.9924295,200,137.81287399979192,qwen7b-npu4,
1782584784.0028129,200,126.17602399768657,qwen7b-npu7,
1782584784.0154793,200,109.35113199957414,qwen7b-npu4,
1782584784.0824795,200,102.57542099861894,qwen7b-npu6,
1782584784.086539,200,97.02713700244203,qwen7b-npu7,
1782584784.0927007,200,89.81615400261944,qwen7b-npu4,
1782584784.107793,200,116.02331199901528,qwen7b-npu6,
1782584784.1409268,200,192.17879299685592,qwen7b-npu5,
1782584784.1413713,200,188.78588199731894,qwen7b-npu5,
1782584784.1704464,200,208.39860100022634,qwen7b-npu5,
1782584784.170766,200,191.25309700029902,qwen7b-npu5,
1782584784.171199,200,211.42292999866186,qwen7b-npu5,
1782584784.1715882,200,209.26283600056195,qwen7b-npu5,
1782584784.1722693,200,156.70798800056218,qwen7b-npu5,
1782584784.1727762,200,180.2656809995824,qwen7b-npu5,
1782584784.1736746,200,91.07371199934278,qwen7b-npu4,
1782584784.1788194,200,86.0515509994002,qwen7b-npu7,
1782584784.201485,200,114.87325499911094,qwen7b-npu4,
1782584784.2117841,200,103.9094190018659,qwen7b-npu7,
1782584784.2755609,200,104.22367099818075,qwen7b-npu6,
1782584784.279053,200,137.9738650030049,qwen7b-npu5,
1782584784.2794821,200,137.99330500114593,qwen7b-npu5,
1782584784.3037286,200,124.84551599845872,qwen7b-npu6,
1782584784.3247125,200,151.86168899890617,qwen7b-npu4,
1782584784.325061,200,152.69174400236807,qwen7b-npu4,
1782584784.325284,200,153.62037000159035,qwen7b-npu4,
1782584784.3255231,200,154.63479599929997,qwen7b-npu4,
1782584784.3267589,200,152.99036600117688,qwen7b-npu7,
1782584784.3274868,200,156.967139999324,qwen7b-npu7,
1782584784.3492742,200,147.6962029992137,qwen7b-npu4,
1782584784.3715239,200,159.6408559998963,qwen7b-npu6,
1782584784.3857613,200,81.93323600062286,qwen7b-npu5,
1782584784.4094574,200,130.30228900242946,qwen7b-npu4,
1782584784.4098656,200,84.52045100057148,qwen7b-npu7,
1782584784.4107301,200,85.90840000033495,qwen7b-npu5,
1782584784.4290571,200,149.50753499942948,qwen7b-npu6,
1782584784.4294343,200,153.76127100171288,qwen7b-npu6,
1782584784.433339,200,107.69830199933494,qwen7b-npu7,
1782584784.4560232,200,130.90125199960312,qwen7b-npu6,
1782584784.4583642,200,86.76620599726448,qwen7b-npu5,
1782584784.504458,200,94.8780450016784,qwen7b-npu7,
1782584784.5366738,200,209.1038660000777,qwen7b-npu4,
1782584784.5377698,200,210.8980659977533,qwen7b-npu4,
1782584784.5715523,200,142.00468999842997,qwen7b-npu5,
1782584784.5790617,200,229.7101100011787,qwen7b-npu4,
1782584784.5794446,200,193.61318099981872,qwen7b-npu4,
1782584784.5923295,200,87.77910099888686,qwen7b-npu6,
1782584784.5991302,200,140.6988820017432,qwen7b-npu5,
1782584784.599512,200,143.38663799935603,qwen7b-npu5,
1782584784.6074963,200,174.06154299897025,qwen7b-npu4,
1782584784.6078799,200,178.7255009985529,qwen7b-npu4,
1782584784.6081123,200,198.132468998665,qwen7b-npu4,
1782584784.6083393,200,197.51229499888723,qwen7b-npu4,
1782584784.619528,200,82.74449099917547,qwen7b-npu7,
1782584784.6850917,200,85.51175799948396,qwen7b-npu6,
1782584784.6885684,200,150.65599199806456,qwen7b-npu5,
1782584784.7104187,200,102.24704899883363,qwen7b-npu6,
1782584784.7144263,200,135.28878800207167,qwen7b-npu5,
1782584784.758354,200,178.81171199769597,qwen7b-npu4,
1782584784.7586892,200,187.0342719994369,qwen7b-npu4,
1782584784.7887955,200,189.5480769999267,qwen7b-npu5,
1782584784.7891364,200,196.74007000139682,qwen7b-npu5,
1782584784.7908669,200,183.24506899807602,qwen7b-npu4,
1782584784.7912407,200,183.29200899825082,qwen7b-npu4,
1782584784.7916653,200,183.25216900120722,qwen7b-npu4,
1782584784.792487,200,81.99120600329479,qwen7b-npu7,
1782584784.8045201,200,90.01982499830774,qwen7b-npu6,
1782584784.8517838,200,232.15909500140697,qwen7b-npu5,
1782584784.8777313,200,88.52309600115404,qwen7b-npu4,
1782584784.9036493,200,99.05719000016688,qwen7b-npu4,
1782584784.9180872,200,232.92524999851594,qwen7b-npu5,
1782584784.9184315,200,229.72778999974253,qwen7b-npu5,
1782584784.9213762,200,132.4637719990278,qwen7b-npu6,
1782584784.9217777,200,130.3841389999434,qwen7b-npu6,
1782584784.9487815,200,190.01882999873487,qwen7b-npu5,
1782584784.9492507,200,190.79362399861566,qwen7b-npu5,
1782584784.9551377,200,103.28245500204503,qwen7b-npu4,
1782584784.9725454,200,181.59299900071346,qwen7b-npu5,
1782584784.972999,200,181.25569699986954,qwen7b-npu5,
1782584784.9734495,200,180.88882500160253,qwen7b-npu5,
1782584784.980796,200,102.93400299997302,qwen7b-npu4,
1782584784.9949305,200,91.19309200104908,qwen7b-npu5,
1782584785.001956,200,80.10234399989713,qwen7b-npu7,
1782584785.0049067,200,86.72100499825319,qwen7b-npu4,
1782584785.0199094,200,101.4171440001519,qwen7b-npu5,
1782584785.0447397,200,95.81504900052096,qwen7b-npu5,
1782584785.0587401,200,137.24424999963958,qwen7b-npu6,
1782584785.0804737,200,107.7736429979268,qwen7b-npu4,
1782584785.1134949,200,140.37683999777073,qwen7b-npu7,
1782584785.1291118,200,84.30329999828245,qwen7b-npu4,
1782584785.140093,200,120.11115700079245,qwen7b-npu7,
1782584785.140789,200,138.73157999842078,qwen7b-npu7,
1782584785.1788628,200,98.26816499844426,qwen7b-npu4,
1782584785.1994793,200,250.0942139995459,qwen7b-npu6,
1782584785.2004273,200,245.17758399815648,qwen7b-npu6,
1782584785.2008421,200,227.24996499891859,qwen7b-npu6,
1782584785.222667,200,82.46636900003068,qwen7b-npu5,
1782584785.2274845,200,98.26672399867675,qwen7b-npu4,
1782584785.2296546,200,248.7543259994709,qwen7b-npu6,
1782584785.2299035,200,234.87540100177284,qwen7b-npu6,
1782584785.2301261,200,225.15239199856296,qwen7b-npu6,
1782584785.2477944,200,106.93230700053391,qwen7b-npu5,
1782584785.2584171,200,144.82196700191707,qwen7b-npu6,
1782584785.2587764,200,199.9705999987782,qwen7b-npu6,
1782584785.2620003,200,83.04069199948572,qwen7b-npu7,
1782584785.291361,200,90.85295000113547,qwen7b-npu7,
1782584785.2947721,200,93.80753799996455,qwen7b-npu5,
1782584785.3439133,200,144.3608440022217,qwen7b-npu4,
1782584785.3499799,200,122.42273100127932,qwen7b-npu7,
1782584785.3709824,200,141.01173400194966,qwen7b-npu4,
1782584785.371747,200,148.98358100253972,qwen7b-npu4,
1782584785.3719964,200,141.7927080001391,qwen7b-npu4,
1782584785.3805058,200,132.60520200128667,qwen7b-npu6,
1782584785.3814702,200,151.74241800195887,qwen7b-npu6,
1782584785.4050744,200,146.23110499815084,qwen7b-npu6,
1782584785.4511003,200,80.0484850005887,qwen7b-npu4,
1782584785.481686,200,219.62070899826358,qwen7b-npu7,
1782584785.482039,200,223.5361329985608,qwen7b-npu7,
1782584785.4941204,200,144.07184199808398,qwen7b-npu6,
1782584785.5073745,200,215.90922600080376,qwen7b-npu7,
1782584785.5079849,200,213.1443299986131,qwen7b-npu7,
1782584785.5211797,200,139.55867500044405,qwen7b-npu6,
1782584785.5214849,200,140.9123230005207,qwen7b-npu6,
1782584785.5219774,200,149.92105800047284,qwen7b-npu6,
1782584785.5330207,200,161.19986600097036,qwen7b-npu7,
1782584785.5333626,200,189.37839700083714,qwen7b-npu7,
1782584785.5339968,200,82.8200010000728,qwen7b-npu4,
1782584785.543961,200,138.80935999986832,qwen7b-npu6,
1782584785.5759768,200,81.75183500134153,qwen7b-npu5,
1782584785.5812593,200,99.16091999912169,qwen7b-npu4,
1782584785.6220417,200,100.43913800109294,qwen7b-npu5,
1782584785.6595554,200,125.4916290017718,qwen7b-npu6,
1782584785.659894,200,137.81167400156846,qwen7b-npu6,
1782584785.661981,200,180.18438999934006,qwen7b-npu7,
1782584785.707285,200,199.23319599911338,qwen7b-npu7,
1782584785.708607,200,187.34542399761267,qwen7b-npu7,
1782584785.7089162,200,201.43701900087763,qwen7b-npu7,
1782584785.7477894,200,203.7591230000544,qwen7b-npu7,
1782584785.7481198,200,214.98545099893818,qwen7b-npu7,
1782584785.748402,200,214.96480099813198,qwen7b-npu7,
1782584785.7489812,200,172.93156699815881,qwen7b-npu7,
1782584785.7492352,200,167.86996600058046,qwen7b-npu7,
1782584785.7701995,200,148.05640600025072,qwen7b-npu7,
1782584785.7898822,200,129.91865600270103,qwen7b-npu6,
1782584785.7927144,200,83.6411060008686,qwen7b-npu4,
1782584785.8188128,200,156.76289899784024,qwen7b-npu6,
1782584785.819162,200,159.50489500028198,qwen7b-npu6,
1782584785.8439848,200,135.29868900150177,qwen7b-npu6,
1782584785.873407,200,125.21021800057497,qwen7b-npu5,
1782584785.8770468,200,87.04897699863068,qwen7b-npu4,
1782584785.8955142,200,188.14614799703122,qwen7b-npu7,
1782584785.8965151,200,103.68146700056968,qwen7b-npu6,
1782584785.8991823,200,150.12624899827642,qwen7b-npu5,
1782584785.8995075,200,151.60727799957385,qwen7b-npu5,
1782584785.9212172,200,102.28217899930314,qwen7b-npu6,
1782584785.9220397,200,173.5686709980655,qwen7b-npu7,
1782584785.9222958,200,172.98371599827078,qwen7b-npu7,
1782584785.9492657,200,178.9546629988763,qwen7b-npu7,
1782584785.9496298,200,130.39481899977545,qwen7b-npu7,
1782584785.9713383,200,127.27937999807182,qwen7b-npu7,
1782584785.980239,200,80.95169000080205,qwen7b-npu5,
1782584785.9950814,200,95.5094979981368,qwen7b-npu7,
1782584785.9976907,200,101.11503199732397,qwen7b-npu6,
1782584786.0228057,200,100.68533000230673,qwen7b-npu6,
1782584786.0332098,200,159.7374069970101,qwen7b-npu4,
1782584786.0467634,200,97.06260800157906,qwen7b-npu6,
1782584786.0689588,200,191.80036100078723,qwen7b-npu4,
1782584786.0694475,200,97.97145300035481,qwen7b-npu7,
1782584786.0697992,200,174.21713400108274,qwen7b-npu4,
1782584786.0869884,200,164.6134760012501,qwen7b-npu4,
1782584786.0880415,200,166.7559400011669,qwen7b-npu4,
1782584786.0883007,200,138.92950100125745,qwen7b-npu4,
1782584786.1018384,200,121.51398499918287,qwen7b-npu5,
1782584786.1234937,200,100.5533679999644,qwen7b-npu6,
1782584786.1384451,200,105.13630700006615,qwen7b-npu4,
