second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,89,1.0,138.39830700089806,209.1038660000777,229.7101100011787,qwen7b-npu4=28;qwen7b-npu5=24;qwen7b-npu6=18;qwen7b-npu7=19
1,77,1.0,140.9123230005207,234.87540100177284,250.0942139995459,qwen7b-npu4=21;qwen7b-npu5=20;qwen7b-npu6=22;qwen7b-npu7=14
2,86,1.0,148.05640600025072,201.43701900087763,214.98545099893818,qwen7b-npu4=15;qwen7b-npu5=22;qwen7b-npu6=25;qwen7b-npu7=24
3,94,1.0,133.7238289997913,192.06511200172827,215.2225419995375,qwen7b-npu4=20;qwen7b-npu5=21;qwen7b-npu6=24;qwen7b-npu7=29
4,94,1.0,123.7713190021168,179.38336599763716,182.38511399977142,qwen7b-npu4=26;qwen7b-npu5=23;qwen7b-npu6=21;qwen7b-npu7=24
5,100,1.0,125.16840700118337,174.31412499718135,212.09085299778963,qwen7b-npu4=26;qwen7b-npu5=25;qwen7b-npu6=24;qwen7b-npu7=25
6,88,1.0,126.33088400252745,202.87555800314294,261.5659030016104,qwen7b-npu4=22;qwen7b-npu5=25;qwen7b-npu6=23;qwen7b-npu7=18
7,89,1.0,136.7371579981409,183.7622929997451,201.31417899756343,qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=23;qwen7b-npu7=24
8,96,1.0,130.9493519984244,181.78143999830354,188.3749299995543,qwen7b-npu4=24;qwen7b-npu5=25;qwen7b-npu6=22;qwen7b-npu7=25
9,87,1.0,132.0083690006868,222.87071900063893,224.67710000273655,qwen7b-npu4=19;qwen7b-npu5=21;qwen7b-npu6=25;qwen7b-npu7=22
10,91,1.0,136.89913900088868,171.66851900037727,182.96587799704866,qwen7b-npu4=26;qwen7b-npu5=22;qwen7b-npu6=19;qwen7b-npu7=24
11,92,1.0,136.00886299900594,182.03437100237352,204.76060900182347,qwen7b-npu4=21;qwen7b-npu5=26;qwen7b-npu6=22;qwen7b-npu7=23
12,100,1.0,124.40373299978091,147.91439500186243,187.18406300104107,qwen7b-npu4=25;qwen7b-npu5=24;qwen7b-npu6=28;qwen7b-npu7=23
13,93,1.0,131.91617800112,182.56323500099825,187.33500400048797,qwen7b-npu4=21;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=24
14,94,1.0,123.18613499883213,182.55391500133555,207.68330700229853,qwen7b-npu4=26;qwen7b-npu5=24;qwen7b-npu6=22;qwen7b-npu7=22
15,94,1.0,127.09353900208953,182.38241399740218,203.92673400056083,qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=24
16,89,1.0,138.83220000207075,221.89363299912657,234.62989999825368,qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=22;qwen7b-npu7=22
17,92,1.0,131.7650870005309,185.93928500195034,229.017315999954,qwen7b-npu4=25;qwen7b-npu5=26;qwen7b-npu6=17;qwen7b-npu7=24
18,94,1.0,129.80020599934505,180.7037840007979,184.2993860009301,qwen7b-npu4=26;qwen7b-npu5=30;qwen7b-npu6=13;qwen7b-npu7=25
19,87,1.0,128.32780700045987,203.83282400143798,234.54063899771427,qwen7b-npu4=22;qwen7b-npu5=17;qwen7b-npu6=24;qwen7b-npu7=24
20,91,1.0,129.199052000331,220.1368719979655,255.85565800065524,qwen7b-npu4=20;qwen7b-npu5=19;qwen7b-npu6=36;qwen7b-npu7=16
21,95,1.0,130.2509380002448,186.71386999994866,216.48298999934923,qwen7b-npu4=20;qwen7b-npu5=25;qwen7b-npu6=22;qwen7b-npu7=28
22,89,1.0,137.37385100102983,222.4946069982252,262.37283799855504,qwen7b-npu4=25;qwen7b-npu5=22;qwen7b-npu6=19;qwen7b-npu7=23
23,94,1.0,128.7593100023514,180.76247399949352,187.21780300256796,qwen7b-npu4=22;qwen7b-npu5=25;qwen7b-npu6=24;qwen7b-npu7=23
24,97,1.0,124.04468099703081,180.33501199897728,184.05244399764342,qwen7b-npu4=25;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=24
25,95,1.0,132.59380199815496,183.39268999989145,188.078448001761,qwen7b-npu4=23;qwen7b-npu5=26;qwen7b-npu6=23;qwen7b-npu7=23
26,90,1.0,129.24361200202839,174.4314060015313,186.6020199995546,qwen7b-npu4=23;qwen7b-npu5=22;qwen7b-npu6=26;qwen7b-npu7=19
27,93,1.0,131.2003140010347,217.87154800040298,227.77327799849445,qwen7b-npu4=22;qwen7b-npu5=24;qwen7b-npu6=19;qwen7b-npu7=28
28,95,1.0,127.27338000331656,185.62893400303437,225.9617480012821,qwen7b-npu4=26;qwen7b-npu5=23;qwen7b-npu6=24;qwen7b-npu7=22
29,90,1.0,131.40962599936756,184.21089500043308,188.65906199789606,qwen7b-npu4=18;qwen7b-npu5=25;qwen7b-npu6=26;qwen7b-npu7=21
30,99,1.0,124.32589300078689,168.3334190020105,175.6905439979164,qwen7b-npu4=27;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=26
31,94,1.0,126.90167800246854,182.73240599955898,187.4118739979167,qwen7b-npu4=25;qwen7b-npu5=22;qwen7b-npu6=26;qwen7b-npu7=21
32,98,1.0,123.37098700299975,186.7929500003811,194.82500899903243,qwen7b-npu4=25;qwen7b-npu5=26;qwen7b-npu6=22;qwen7b-npu7=25
33,99,1.0,106.51103499913006,189.16473400167888,220.97552699779044,qwen7b-npu4=23;qwen7b-npu5=25;qwen7b-npu6=23;qwen7b-npu7=28
34,93,1.0,129.2344920002506,171.1788360007631,186.93367100058822,qwen7b-npu4=27;qwen7b-npu5=24;qwen7b-npu6=22;qwen7b-npu7=20
35,93,1.0,128.71806899784133,182.61972599793808,218.96923500025878,qwen7b-npu4=27;qwen7b-npu5=22;qwen7b-npu6=20;qwen7b-npu7=24
36,90,1.0,128.2653259986546,181.04362599842716,231.31969000314712,qwen7b-npu4=25;qwen7b-npu5=24;qwen7b-npu6=21;qwen7b-npu7=20
37,94,1.0,131.0260530008236,189.68371799928718,224.07412599932286,qwen7b-npu4=22;qwen7b-npu5=22;qwen7b-npu6=29;qwen7b-npu7=21
38,87,1.0,135.73522099977708,233.96230599973933,273.40591399843106,qwen7b-npu4=19;qwen7b-npu5=23;qwen7b-npu6=22;qwen7b-npu7=23
39,95,1.0,109.12138099956792,183.19745899862028,194.376307001221,qwen7b-npu4=25;qwen7b-npu5=21;qwen7b-npu6=24;qwen7b-npu7=25
40,93,1.0,129.32130199988023,199.91596000181744,213.8034540002991,qwen7b-npu4=23;qwen7b-npu5=25;qwen7b-npu6=22;qwen7b-npu7=23
41,97,1.0,107.59347099883598,210.20933199906722,217.37376599776326,qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=26
42,101,1.0,112.56924099870957,165.27137999946717,185.32327100183466,qwen7b-npu4=28;qwen7b-npu5=23;qwen7b-npu6=27;qwen7b-npu7=23
43,94,1.0,113.35548599890899,186.51764900278067,219.38284700081567,qwen7b-npu4=19;qwen7b-npu5=25;qwen7b-npu6=26;qwen7b-npu7=24
44,91,1.0,132.58232299995143,175.04692999864346,182.8805570003169,qwen7b-npu4=28;qwen7b-npu5=19;qwen7b-npu6=22;qwen7b-npu7=22
45,92,1.0,131.6741170012392,180.322760999843,185.4753929983417,qwen7b-npu4=20;qwen7b-npu5=25;qwen7b-npu6=22;qwen7b-npu7=25
46,96,1.0,127.90850400051568,178.61114100014674,222.71772800013423,qwen7b-npu4=26;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=22
