second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,3,1.0,10021.848773001693,10022.446296999988,10022.446296999988,qwen7b-npu3=3
13,7,1.0,23170.41757900006,23406.856300000072,23406.856300000072,qwen7b-npu3=1;qwen7b-npu4=3;qwen7b-npu5=3
14,13,1.0,1699.7102069981338,24828.677786001208,24828.677786001208,qwen7b-npu3=2;qwen7b-npu6=5;qwen7b-npu7=6
15,1,1.0,106.22069300006842,106.22069300006842,106.22069300006842,qwen7b-npu3=1
17,4,1.0,3183.9301889995113,4821.33180999881,4821.33180999881,qwen7b-npu5=4
18,10,1.0,91.55829500014079,4962.170481998328,4962.170481998328,qwen7b-npu4=7;qwen7b-npu5=3
19,8,1.0,1460.9192110001459,5124.517544001719,5124.517544001719,qwen7b-npu4=1;qwen7b-npu5=1;qwen7b-npu6=1;qwen7b-npu7=5
20,36,1.0,87.01203599775909,2073.038507001911,5113.1835950000095,qwen7b-npu4=8;qwen7b-npu5=8;qwen7b-npu6=12;qwen7b-npu7=8
21,1,1.0,81.13785100067616,81.13785100067616,81.13785100067616,qwen7b-npu6=1
26,20,1.0,6224.065318998328,8497.380367000005,8856.461750001472,qwen7b-npu3=14;qwen7b-npu4=2;qwen7b-npu5=1;qwen7b-npu6=2;qwen7b-npu7=1
27,116,1.0,104.35286200299743,140.32573899748968,160.65170199726708,qwen7b-npu3=21;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=24
28,115,1.0,103.55838699979358,134.09760200011078,162.42208299809135,qwen7b-npu3=21;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=24
29,115,1.0,103.04804399856948,115.739200002281,122.08706899764366,qwen7b-npu3=22;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=22
30,116,1.0,103.6480879993178,129.2799319999176,143.26723699923605,qwen7b-npu3=23;qwen7b-npu4=24;qwen7b-npu5=22;qwen7b-npu6=23;qwen7b-npu7=24
31,111,1.0,104.69794399978127,152.020290002838,160.13406900310656,qwen7b-npu3=21;qwen7b-npu4=22;qwen7b-npu5=22;qwen7b-npu6=23;qwen7b-npu7=23
32,102,1.0,104.94579499936663,166.33373700096854,182.76490599964745,qwen7b-npu3=20;qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=20;qwen7b-npu7=20
33,100,1.0,101.52284400101053,115.78014100086875,120.29739799982053,qwen7b-npu3=14;qwen7b-npu4=21;qwen7b-npu5=22;qwen7b-npu6=21;qwen7b-npu7=22
34,17,1.0,83.32012399841915,101.53832500145654,101.53832500145654,qwen7b-npu4=4;qwen7b-npu5=4;qwen7b-npu6=5;qwen7b-npu7=4
37,57,1.0,100.49904800325749,3904.527100999985,3928.495395997743,qwen7b-npu3=20;qwen7b-npu4=10;qwen7b-npu5=10;qwen7b-npu6=8;qwen7b-npu7=9
38,121,1.0,100.49259799779975,111.86823699972592,142.80159500049194,qwen7b-npu3=23;qwen7b-npu4=24;qwen7b-npu5=23;qwen7b-npu6=26;qwen7b-npu7=25
39,121,1.0,99.63249300199095,109.90579500139575,155.25876999890897,qwen7b-npu3=24;qwen7b-npu4=24;qwen7b-npu5=25;qwen7b-npu6=24;qwen7b-npu7=24
40,125,1.0,95.95273000013549,111.58216500189155,114.84412499703467,qwen7b-npu3=24;qwen7b-npu4=26;qwen7b-npu5=25;qwen7b-npu6=25;qwen7b-npu7=25
41,117,1.0,103.03573300188873,113.98523900061264,117.8693830006523,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=23
42,117,1.0,103.31177600164665,116.59665600018343,150.4607009992469,qwen7b-npu3=24;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=24
43,118,1.0,101.20150199873024,117.32608000238542,150.76349299852154,qwen7b-npu3=23;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=23
44,116,1.0,102.3295990016777,115.90496200005873,118.73961799938115,qwen7b-npu3=23;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=24
45,52,1.0,92.8976920004061,110.82322999936878,116.5548659992055,qwen7b-npu3=2;qwen7b-npu4=13;qwen7b-npu5=12;qwen7b-npu6=12;qwen7b-npu7=13
46,3,1.0,84.87409399822354,85.28758600004949,85.28758600004949,qwen7b-npu4=1;qwen7b-npu5=1;qwen7b-npu6=1
49,1,1.0,4933.169605999865,4933.169605999865,4933.169605999865,qwen7b-npu3=1
50,94,1.0,121.35636499806424,4791.740409997146,5007.667896999919,qwen7b-npu3=26;qwen7b-npu4=17;qwen7b-npu5=17;qwen7b-npu6=17;qwen7b-npu7=17
