second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,254,1.0,130.11579494923353,153.40214176103473,158.28817477449775,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=50;qwen15b-npu7=51
1,250,1.0,127.57127685472369,151.72581980004907,164.39696541056037,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
2,243,1.0,129.1202181018889,150.1956400461495,155.21007403731346,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
3,249,1.0,129.7747320495546,147.86568423733115,153.92099507153034,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=50
4,244,1.0,127.98233004286885,146.91452821716666,158.52994564920664,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=50
5,250,1.0,127.70583899691701,147.98758504912257,152.73902704939246,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=47
6,244,1.0,128.15992115065455,151.6381287947297,156.34129103273153,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=51
7,251,1.0,128.32861300557852,150.16892924904823,157.6239001005888,qwen15b-npu3=53;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=50;qwen15b-npu7=48
8,240,1.0,128.22025176137686,146.43738511949778,150.74078319594264,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=51
9,254,1.0,127.76070879772305,147.00593892484903,150.9649851359427,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=52;qwen15b-npu6=50;qwen15b-npu7=51
10,252,1.0,127.36472580581903,143.2774937711656,148.84077105671167,qwen15b-npu3=50;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=50
11,239,1.0,131.3784741796553,149.54905537888408,155.00801196321845,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=47
