ts,status,latency_ms,backend,error
1782497926.3640254,200,122.76059482246637,qwen15b-npu4,
1782497926.3688812,200,125.57275407016277,qwen15b-npu5,
1782497926.3725348,200,130.5227279663086,qwen15b-npu6,
1782497926.373099,200,136.94642996415496,qwen15b-npu7,
1782497926.3779373,200,140.49246534705162,qwen15b-npu3,
1782497926.3782833,200,139.54293821007013,qwen15b-npu3,
1782497926.3911178,200,148.53960881009698,qwen15b-npu4,
1782497926.391474,200,138.6831416748464,qwen15b-npu4,
1782497926.3924017,200,144.12667881697416,qwen15b-npu4,
1782497926.3927913,200,138.98761477321386,qwen15b-npu4,
1782497926.396529,200,151.4146476984024,qwen15b-npu5,
1782497926.3971372,200,139.40008683130145,qwen15b-npu5,
1782497926.3976963,200,146.85421716421843,qwen15b-npu5,
1782497926.3979547,200,139.3256369046867,qwen15b-npu5,
1782497926.3982086,200,149.40484380349517,qwen15b-npu5,
1782497926.3986766,200,153.06365909054875,qwen15b-npu5,
1782497926.402039,200,161.32469521835446,qwen15b-npu7,
1782497926.4024148,200,156.23846091330051,qwen15b-npu6,
1782497926.4027753,200,146.07409201562405,qwen15b-npu7,
1782497926.4035742,200,147.806562948972,qwen15b-npu6,
1782497926.4039,200,165.83014512434602,qwen15b-npu6,
1782497926.404293,200,160.11008573696017,qwen15b-npu7,
1782497926.407094,200,160.31676810234785,qwen15b-npu3,
1782497926.407355,200,152.55980612710118,qwen15b-npu3,
1782497926.4077299,200,157.9074109904468,qwen15b-npu3,
1782497926.410901,200,150.84807481616735,qwen15b-npu4,
1782497926.428394,200,167.62535693123937,qwen15b-npu7,
1782497926.4286325,200,165.29030120000243,qwen15b-npu7,
1782497926.429375,200,166.84109205380082,qwen15b-npu7,
1782497926.4339075,200,169.54418970271945,qwen15b-npu3,
1782497926.4346566,200,173.11697406694293,qwen15b-npu3,
1782497926.435025,200,169.7514713741839,qwen15b-npu3,
1782497926.483079,200,104.72388379275799,qwen15b-npu4,
1782497926.4887042,200,115.53966673091054,qwen15b-npu5,
1782497926.5057323,200,127.72643892094493,qwen15b-npu7,
1782497926.5080903,200,116.45269300788641,qwen15b-npu4,
1782497926.5084686,200,110.7042352668941,qwen15b-npu4,
1782497926.509556,200,117.05334670841694,qwen15b-npu4,
1782497926.5099535,200,141.00166782736778,qwen15b-npu6,
1782497926.5102155,200,137.60839495807886,qwen15b-npu6,
1782497926.510935,200,146.77803684026003,qwen15b-npu6,
1782497926.5136309,200,106.4617047086358,qwen15b-npu5,
1782497926.51435,200,116.07586033642292,qwen15b-npu5,
1782497926.5146174,200,117.40698898211122,qwen15b-npu5,
1782497926.518073,200,125.13024127110839,qwen15b-npu3,
1782497926.5306957,200,126.68510200455785,qwen15b-npu4,
1782497926.5314634,200,128.9474070072174,qwen15b-npu4,
1782497926.5344546,200,123.49279969930649,qwen15b-npu7,
1782497926.5346704,200,132.51367071643472,qwen15b-npu7,
1782497926.5349157,200,138.27993907034397,qwen15b-npu7,
1782497926.5351868,200,127.38915625959635,qwen15b-npu7,
1782497926.5368414,200,107.39006195217371,qwen15b-npu5,
1782497926.5373404,200,132.93002406135201,qwen15b-npu6,
1782497926.5375729,200,146.35984413325787,qwen15b-npu6,
1782497926.5378497,200,134.97684709727764,qwen15b-npu6,
1782497926.5385828,200,139.83338000252843,qwen15b-npu6,
1782497926.5457048,200,142.04959478229284,qwen15b-npu3,
1782497926.545937,200,138.4980920702219,qwen15b-npu3,
1782497926.546671,200,148.64516910165548,qwen15b-npu3,
1782497926.554395,200,125.700525008142,qwen15b-npu4,
1782497926.554641,200,119.91506582126021,qwen15b-npu4,
1782497926.559393,200,125.4148930311203,qwen15b-npu7,
1782497926.5643516,200,135.89107291772962,qwen15b-npu6,
1782497926.5648634,200,129.7700828872621,qwen15b-npu6,
1782497926.6154728,200,126.6917516477406,qwen15b-npu7,
1782497926.6165948,200,133.42770794406533,qwen15b-npu6,
1782497926.6335144,200,119.81191486120224,qwen15b-npu4,
1782497926.6348205,200,126.65027100592852,qwen15b-npu5,
1782497926.6355972,200,129.78109205141664,qwen15b-npu5,
1782497926.6364095,200,121.71888863667846,qwen15b-npu5,
1782497926.6432672,200,125.12612110003829,qwen15b-npu7,
1782497926.64359,200,133.55550821870565,qwen15b-npu7,
1782497926.6445422,200,134.91904735565186,qwen15b-npu6,
1782497926.6451628,200,130.7474090717733,qwen15b-npu6,
1782497926.6465614,200,107.90953505784273,qwen15b-npu4,
1782497926.6542244,200,143.22854299098253,qwen15b-npu3,
1782497926.6549807,200,146.4430750347674,qwen15b-npu3,
1782497926.6552413,200,144.9598241597414,qwen15b-npu3,
1782497926.6574633,200,120.55339990183711,qwen15b-npu5,
1782497926.6577091,200,126.17487786337733,qwen15b-npu5,
1782497926.6579387,200,111.88651295378804,qwen15b-npu5,
1782497926.6582205,200,127.45377607643604,qwen15b-npu5,
1782497926.6715293,200,117.0655069872737,qwen15b-npu4,
1782497926.6718497,200,137.3298428952694,qwen15b-npu7,
1782497926.6721323,200,107.6267440803349,qwen15b-npu4,
1782497926.6727374,200,137.7529059536755,qwen15b-npu7,
1782497926.6733665,200,138.6287622153759,qwen15b-npu6,
1782497926.673628,200,138.37938010692596,qwen15b-npu6,
1782497926.6744277,200,127.68620811402798,qwen15b-npu6,
1782497926.678129,200,118.598906788975,qwen15b-npu5,
1782497926.6836789,200,145.75397036969662,qwen15b-npu3,
1782497926.6858938,200,140.12411236763,qwen15b-npu3,
1782497926.6861928,200,148.78796972334385,qwen15b-npu3,
1782497926.686867,200,132.1490379050374,qwen15b-npu3,
1782497926.6875424,200,149.90113768726587,qwen15b-npu3,
1782497926.6981766,200,133.22595600038767,qwen15b-npu7,
1782497926.7463279,200,111.40727903693914,qwen15b-npu4,
1782497926.7475019,200,131.89177680760622,qwen15b-npu4,
1782497926.7478921,200,112.1518537402153,qwen15b-npu4,
1782497926.766785,200,150.1159188337624,qwen15b-npu6,
1782497926.7688065,200,122.17424204573035,qwen15b-npu4,
1782497926.7691476,200,111.37464921921492,qwen15b-npu4,
1782497926.7694864,200,124.25652518868446,qwen15b-npu4,
1782497926.7762675,200,117.90986312553287,qwen15b-npu5,
1782497926.7765527,200,119.01925969868898,qwen15b-npu5,
1782497926.7769125,200,121.60361697897315,qwen15b-npu5,
1782497926.7771587,200,122.10602080449462,qwen15b-npu5,
1782497926.7949228,200,161.2964840605855,qwen15b-npu7,
1782497926.7953165,200,151.65218897163868,qwen15b-npu7,
1782497926.795622,200,152.2780037485063,qwen15b-npu7,
1782497926.7967484,200,160.26933770626783,qwen15b-npu6,
1782497926.7979512,200,143.6587660573423,qwen15b-npu7,
1782497926.7984724,200,124.77887887507677,qwen15b-npu4,
1782497926.7994168,200,112.46101604774594,qwen15b-npu5,
1782497926.8002462,200,127.43912683799863,qwen15b-npu5,
1782497926.8065894,200,148.57842912897468,qwen15b-npu3,
1782497926.8069468,200,162.33456088230014,qwen15b-npu3,
1782497926.8221433,200,135.81676268950105,qwen15b-npu4,
1782497926.8224807,200,149.03480233624578,qwen15b-npu7,
1782497926.8227797,200,139.0267051756382,qwen15b-npu4,
1782497926.823417,200,151.21809719130397,qwen15b-npu7,
1782497926.823785,200,152.15208288282156,qwen15b-npu7,
1782497926.8264241,200,140.44596394523978,qwen15b-npu6,
1782497926.82671,200,154.7912796959281,qwen15b-npu6,
1782497926.8274288,200,149.23662319779396,qwen15b-npu6,
1782497926.8345895,200,146.9766483642161,qwen15b-npu3,
1782497926.835221,200,160.72481963783503,qwen15b-npu3,
1782497926.8539507,200,155.7010756805539,qwen15b-npu6,
1782497926.871865,200,124.2356849834323,qwen15b-npu5,
1782497926.8733099,200,126.61292217671871,qwen15b-npu7,
1782497926.8828654,200,134.86432703211904,qwen15b-npu6,
1782497926.8953705,200,118.38147602975368,qwen15b-npu4,
1782497926.895651,200,126.7669228836894,qwen15b-npu4,
1782497926.8963256,200,119.69030415639281,qwen15b-npu5,
1782497926.902084,200,135.1750986650586,qwen15b-npu7,
1782497926.9107575,200,141.19699923321605,qwen15b-npu6,
1782497926.9117506,200,142.5097081810236,qwen15b-npu6,
1782497926.915935,200,138.70376208797097,qwen15b-npu3,
1782497926.91639,200,140.03962092101574,qwen15b-npu3,
1782497926.919758,200,121.73300888389349,qwen15b-npu4,
1782497926.920932,200,124.0658238530159,qwen15b-npu5,
1782497926.9212835,200,114.24754792824388,qwen15b-npu5,
1782497926.9276028,200,128.10667185112834,qwen15b-npu7,
1782497926.9279265,200,132.23034888505936,qwen15b-npu7,
1782497926.9403372,200,144.93063371628523,qwen15b-npu6,
1782497926.9406874,200,140.36174397915602,qwen15b-npu6,
1782497926.9451213,200,122.55150405690074,qwen15b-npu5,
1782497926.9455738,200,119.06911991536617,qwen15b-npu5,
1782497926.9458747,200,119.08006016165018,qwen15b-npu4,
1782497926.947041,200,123.15403809770942,qwen15b-npu3,
1782497926.9477391,200,125.48740394413471,qwen15b-npu3,
1782497926.948003,200,149.4278348982334,qwen15b-npu3,
1782497926.9494123,200,154.36559822410345,qwen15b-npu3,
1782497926.9497478,200,143.06130120530725,qwen15b-npu3,
1782497926.9561653,200,133.32461705431342,qwen15b-npu7,
1782497926.9565637,200,133.07586405426264,qwen15b-npu7,
1782497926.9570975,200,122.44396284222603,qwen15b-npu7,
1782497926.969727,200,115.64245820045471,qwen15b-npu4,
1782497926.9702132,200,142.70351873710752,qwen15b-npu6,
1782497926.9710472,200,135.7514332048595,qwen15b-npu3,
1782497927.016799,200,114.60305983200669,qwen15b-npu5,
1782497927.0182874,200,122.57477408275008,qwen15b-npu4,
1782497927.0257928,200,152.39683538675308,qwen15b-npu6,
1782497927.0261497,200,154.16970569640398,qwen15b-npu6,
1782497927.0264573,200,130.9952512383461,qwen15b-npu6,
1782497927.0267708,200,143.80371710285544,qwen15b-npu3,
1782497927.0360563,200,125.2287020906806,qwen15b-npu7,
1782497927.0363538,200,139.94956063106656,qwen15b-npu7,
1782497927.0411813,200,120.16263790428638,qwen15b-npu5,
1782497927.0439794,200,127.93314969167113,qwen15b-npu4,
1782497927.044279,200,124.45760704576969,qwen15b-npu4,
1782497927.0521467,200,124.14340488612652,qwen15b-npu6,
1782497927.0524755,200,140.58293495327234,qwen15b-npu6,
1782497927.0539176,200,132.56456097587943,qwen15b-npu3,
1782497927.0542161,200,137.73475587368011,qwen15b-npu3,
1782497927.0621955,200,134.51104424893856,qwen15b-npu7,
1782497927.0682552,200,127.4925572797656,qwen15b-npu5,
1782497927.0688715,200,122.93293559923768,qwen15b-npu5,
1782497927.0692828,200,124.01593383401632,qwen15b-npu5,
1782497927.0698788,200,112.70056804642081,qwen15b-npu5,
1782497927.0702868,200,123.13165841624141,qwen15b-npu4,
1782497927.079026,200,130.9536313638091,qwen15b-npu6,
1782497927.0794265,200,133.7827485986054,qwen15b-npu6,
1782497927.0816932,200,132.1876789443195,qwen15b-npu3,
1782497927.0819836,200,141.56416105106473,qwen15b-npu3,
1782497927.082622,200,134.80882672592998,qwen15b-npu3,
1782497927.0898123,200,139.98699095100164,qwen15b-npu7,
1782497927.090756,200,134.4742840155959,qwen15b-npu7,
