ts,status,latency_ms,backend,error
1782499753.6683996,200,102.54384158179164,qwen15b-npu5,
1782499753.669441,200,105.74092296883464,qwen15b-npu4,
1782499753.6893175,200,121.57250801101327,qwen15b-npu6,
1782499753.6899445,200,129.58091078326106,qwen15b-npu6,
1782499753.6903813,200,128.60722513869405,qwen15b-npu7,
1782499753.693084,200,119.01271110400558,qwen15b-npu5,
1782499753.6933315,200,119.81178587302566,qwen15b-npu5,
1782499753.694321,200,122.56183382123709,qwen15b-npu5,
1782499753.6948726,200,118.02305420860648,qwen15b-npu5,
1782499753.6974547,200,126.44816981628537,qwen15b-npu4,
1782499753.697754,200,124.69432922080159,qwen15b-npu4,
1782499753.6982782,200,131.55509438365698,qwen15b-npu4,
1782499753.6990125,200,121.58515769988298,qwen15b-npu4,
1782499753.703029,200,130.5775181390345,qwen15b-npu3,
1782499753.7034132,200,134.18437121436,qwen15b-npu3,
1782499753.7038481,200,139.51694685965776,qwen15b-npu3,
1782499753.7185369,200,148.04091397672892,qwen15b-npu6,
1782499753.718842,200,140.82523621618748,qwen15b-npu6,
1782499753.719626,200,144.2603780888021,qwen15b-npu6,
1782499753.7217405,200,151.99480019509792,qwen15b-npu7,
1782499753.7221005,200,153.55235012248158,qwen15b-npu7,
1782499753.7226446,200,147.998102940619,qwen15b-npu7,
1782499753.7230887,200,160.1664242334664,qwen15b-npu7,
1782499753.729878,200,151.11592411994934,qwen15b-npu3,
1782499753.730206,200,154.07806308940053,qwen15b-npu3,
1782499753.7586365,200,176.82783491909504,qwen15b-npu5,
1782499753.7593157,200,175.57806707918644,qwen15b-npu5,
1782499753.7630405,200,183.51379921659827,qwen15b-npu4,
1782499753.772034,200,190.81898778676987,qwen15b-npu6,
1782499753.7728086,200,192.22843693569303,qwen15b-npu6,
1782499753.7757294,200,195.7251112908125,qwen15b-npu7,
1782499753.7858548,200,203.1494900584221,qwen15b-npu3,
1782499753.800377,200,131.86086574569345,qwen15b-npu6,
1782499753.8029714,200,133.46590660512447,qwen15b-npu7,
1782499753.8051739,200,111.76718212664127,qwen15b-npu5,
1782499753.8054214,200,107.55919478833675,qwen15b-npu5,
1782499753.811425,200,116.48813402280211,qwen15b-npu4,
1782499753.812309,200,109.15676597505808,qwen15b-npu4,
1782499753.8128157,200,122.35484318807721,qwen15b-npu4,
1782499753.8283017,200,105.54248094558716,qwen15b-npu5,
1782499753.8286774,200,108.97282417863607,qwen15b-npu5,
1782499753.8307996,200,132.44546903297305,qwen15b-npu6,
1782499753.8314342,200,142.0348039828241,qwen15b-npu6,
1782499753.8343017,200,144.28427862003446,qwen15b-npu7,
1782499753.8345716,200,137.03538989648223,qwen15b-npu7,
