second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,249,1.0,130.85433933883905,156.38220915570855,192.22843693569303,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=48;qwen15b-npu7=50
1,245,1.0,129.8323031514883,157.6998382806778,162.54344023764133,qwen15b-npu3=50;qwen15b-npu4=47;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=49
2,241,1.0,131.34759198874235,158.9220860041678,168.85519213974476,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=50;qwen15b-npu7=49
3,240,1.0,132.2643980383873,158.06696005165577,164.5496031269431,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=46;qwen15b-npu6=48;qwen15b-npu7=48
4,224,1.0,133.479296695441,179.9294352531433,292.73030487820506,qwen15b-npu3=46;qwen15b-npu4=44;qwen15b-npu5=47;qwen15b-npu6=44;qwen15b-npu7=43
5,236,1.0,134.78765496984124,161.86018520966172,169.56040682271123,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=45;qwen15b-npu7=48
6,238,1.0,132.14293774217367,161.345852073282,172.03308269381523,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=46
7,246,1.0,129.8963031731546,150.32058814540505,157.2242840193212,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
8,240,1.0,130.89344929903746,155.2304308861494,161.34444111958146,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=48
9,251,1.0,128.2518021762371,150.2844779752195,157.67655707895756,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=51
10,242,1.0,131.53624394908547,151.3340249657631,161.79888369515538,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=51;qwen15b-npu6=48;qwen15b-npu7=48
11,242,1.0,132.0978170260787,150.9716329164803,158.67562359198928,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=46;qwen15b-npu7=49
12,233,1.0,129.35140915215015,190.81093836575747,294.8402278125286,qwen15b-npu3=47;qwen15b-npu4=45;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=46
13,243,1.0,129.6383310109377,153.9228418841958,163.08011300861835,qwen15b-npu3=46;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
14,240,1.0,133.0826641060412,155.56950261816382,161.49503318592906,qwen15b-npu3=49;qwen15b-npu4=46;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
15,242,1.0,129.91330306977034,153.1385169364512,160.37565609440207,qwen15b-npu3=47;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=47
16,244,1.0,132.85592198371887,158.4535022266209,165.00716609880328,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=50
17,238,1.0,132.2194579988718,150.78038116917014,155.00691020861268,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=47
18,242,1.0,134.1959205456078,153.36176892742515,160.96626920625567,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
19,237,1.0,133.0941841006279,161.10891988500953,168.239566963166,qwen15b-npu3=49;qwen15b-npu4=46;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=45
20,233,1.0,131.6983951255679,163.65738725289702,265.3563730418682,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=45;qwen15b-npu6=44;qwen15b-npu7=50
21,236,1.0,134.7071649506688,161.71891428530216,169.4706859998405,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=47
22,242,1.0,131.00520009174943,153.87777239084244,158.76612532883883,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
23,243,1.0,131.19478058069944,153.92359206452966,160.6692671775818,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=49
24,242,1.0,131.84978580102324,154.135684017092,160.87877796962857,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=47
25,244,1.0,132.84018216654658,151.7902878113091,158.64777425304055,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
26,236,1.0,132.09917768836021,159.65892001986504,174.42204896360636,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=47
27,242,1.0,129.809251986444,151.9369287416339,158.92422571778297,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=49
28,238,1.0,130.9525202959776,168.92222268506885,287.8144420683384,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=47
29,242,1.0,128.5782242193818,155.7690748013556,160.19905405119061,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=51;qwen15b-npu7=48
30,236,1.0,130.2784951403737,154.7775981016457,163.0761637352407,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=45;qwen15b-npu7=48
31,246,1.0,130.94082986935973,158.93361624330282,177.38957796245813,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=48
32,246,1.0,129.45904023945332,154.88174930214882,164.11371994763613,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=50
33,237,1.0,133.97062988951802,155.8724450878799,164.98177591711283,qwen15b-npu3=48;qwen15b-npu4=46;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=49
