second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,251,1.0,130.17110479995608,155.222631059587,165.339897852391,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=49
1,243,1.0,128.6465642042458,158.5921631194651,164.20734068378806,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=49
2,243,1.0,132.47636007145047,155.18633974716067,158.98859594017267,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=49
3,239,1.0,134.89865604788065,162.00753580778837,167.26517071947455,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=50;qwen15b-npu7=48
4,228,1.0,129.26847906783223,192.8682909347117,302.67844069749117,qwen15b-npu3=47;qwen15b-npu4=46;qwen15b-npu5=47;qwen15b-npu6=45;qwen15b-npu7=43
5,246,1.0,134.4779427163303,160.20730417221785,166.7169169522822,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=50
6,244,1.0,130.59781724587083,153.60534004867077,159.22969719395041,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=51
7,236,1.0,129.98647382482886,158.04400015622377,162.88441233336926,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=46;qwen15b-npu7=47
8,238,1.0,135.69330098107457,162.11048606783152,170.00194918364286,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=46;qwen15b-npu6=48;qwen15b-npu7=48
9,236,1.0,136.35722594335675,165.07782693952322,179.84079476445913,qwen15b-npu3=48;qwen15b-npu4=46;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=45
10,240,1.0,132.1819582954049,155.33527126535773,159.59380008280277,qwen15b-npu3=46;qwen15b-npu4=50;qwen15b-npu5=46;qwen15b-npu6=49;qwen15b-npu7=49
11,237,1.0,132.70669104531407,153.12339691445231,159.72429094836116,qwen15b-npu3=47;qwen15b-npu4=46;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=49
12,225,1.0,131.9916769862175,226.73210594803095,344.66675017029047,qwen15b-npu3=44;qwen15b-npu4=46;qwen15b-npu5=46;qwen15b-npu6=46;qwen15b-npu7=43
13,249,1.0,132.20548816025257,156.22607804834843,166.58334620296955,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=48;qwen15b-npu7=51
14,241,1.0,129.84277307987213,150.47898888587952,158.38840184733272,qwen15b-npu3=47;qwen15b-npu4=50;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=48
15,241,1.0,133.56230687350035,150.32379794865847,155.77695425599813,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=46
16,247,1.0,128.01086995750666,147.674601059407,151.19442529976368,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=53
17,244,1.0,131.746135186404,156.12714691087604,160.26478400453925,qwen15b-npu3=51;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=46
18,243,1.0,128.7440052255988,156.99088294059038,173.95229591056705,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=45;qwen15b-npu7=49
19,241,1.0,132.64673203229904,154.83072912320495,161.2391509115696,qwen15b-npu3=45;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=48
20,229,1.0,131.02250080555677,228.35474694147706,304.2388609610498,qwen15b-npu3=47;qwen15b-npu4=45;qwen15b-npu5=45;qwen15b-npu6=46;qwen15b-npu7=46
21,244,1.0,129.43783029913902,154.9980603158474,167.24374098703265,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=49
22,244,1.0,128.59277380630374,161.23265121132135,175.0743119046092,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
23,242,1.0,132.91933294385672,155.19220987334847,163.64688705652952,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=46;qwen15b-npu6=50;qwen15b-npu7=49
24,245,1.0,132.93277332559228,155.64197394996881,160.49618599936366,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
25,235,1.0,132.98048311844468,155.26599111035466,161.1290699802339,qwen15b-npu3=47;qwen15b-npu4=46;qwen15b-npu5=50;qwen15b-npu6=46;qwen15b-npu7=46
26,238,1.0,133.39327555149794,159.97302206233144,177.44945781305432,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=47
27,245,1.0,129.79615200310946,146.11958991736174,152.77453511953354,qwen15b-npu3=50;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=51;qwen15b-npu7=49
28,233,1.0,130.43692708015442,180.44978892430663,281.7193609662354,qwen15b-npu3=45;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=47
29,249,1.0,129.99573396518826,148.3816560357809,151.43089601770043,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=51;qwen15b-npu7=50
30,242,1.0,130.9549999423325,150.15167696401477,155.65000381320715,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=50;qwen15b-npu6=46;qwen15b-npu7=50
31,235,1.0,133.0819339491427,150.82076098769903,156.0844760388136,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=44
32,239,1.0,134.9556869827211,161.0960098914802,172.18536278232932,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=49
33,242,1.0,131.07701065018773,154.1668539866805,169.98243890702724,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=49
34,248,1.0,131.1367810703814,154.8609691672027,159.76146096363664,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=49
35,238,1.0,132.5647607445717,151.82639798149467,153.94799318164587,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=48
36,227,1.0,130.64700784161687,264.8203489370644,347.64245990663767,qwen15b-npu3=45;qwen15b-npu4=46;qwen15b-npu5=44;qwen15b-npu6=46;qwen15b-npu7=46
37,246,1.0,131.23154174536467,148.6233570612967,152.67731389030814,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
38,240,1.0,131.58449437469244,156.28199838101864,166.35356517508626,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=51;qwen15b-npu6=47;qwen15b-npu7=48
39,244,1.0,130.7693081907928,151.4912568964064,159.67958001419902,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
40,247,1.0,130.1955352537334,150.01080697402358,154.91002891212702,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=48
41,241,1.0,132.80139211565256,153.51561037823558,162.6715399324894,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
42,245,1.0,132.4027399532497,151.39900567010045,159.90800224244595,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=50
43,242,1.0,129.5087500475347,153.40269915759563,191.41678093001246,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
44,225,1.0,131.8759759888053,235.07347097620368,365.2063156478107,qwen15b-npu3=48;qwen15b-npu4=45;qwen15b-npu5=45;qwen15b-npu6=47;qwen15b-npu7=40
45,246,1.0,129.46260999888182,152.78475498780608,162.2024169191718,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=54
46,247,1.0,128.18657094612718,151.94694930687547,159.260677639395,qwen15b-npu3=47;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
47,238,1.0,133.39440617710352,156.71499073505402,167.17484081164002,qwen15b-npu3=48;qwen15b-npu4=46;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=48
48,242,1.0,132.2844889946282,154.33352487161756,166.56950721517205,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=49
49,243,1.0,132.3927198536694,158.89968583360314,188.85920522734523,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=46
50,244,1.0,131.66787521913648,153.1661171466112,161.36246221140027,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=51
51,233,1.0,132.28544918820262,158.12488133087754,168.41425886377692,qwen15b-npu3=43;qwen15b-npu4=47;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=46
52,226,1.0,132.26806838065386,279.3310862034559,377.3104571737349,qwen15b-npu3=47;qwen15b-npu4=45;qwen15b-npu5=45;qwen15b-npu6=43;qwen15b-npu7=46
53,241,1.0,130.11082401499152,156.72921109944582,165.7612812705338,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=49
