second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,251,1.0,129.92617301642895,162.18758700415492,175.72484677657485,qwen15b-npu3=48;qwen15b-npu4=51;qwen15b-npu5=52;qwen15b-npu6=50;qwen15b-npu7=50
1,243,1.0,128.03470995277166,158.45615230500698,168.65608096122742,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
2,243,1.0,130.05327386781573,158.66560395807028,164.23180093988776,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
3,239,1.0,129.94289305061102,158.9764361269772,166.14964371547103,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=47
4,236,1.0,130.63969835639,159.5015898346901,167.24593099206686,qwen15b-npu3=45;qwen15b-npu4=46;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
5,239,1.0,128.24333179742098,179.65752305462956,343.6772529967129,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=46;qwen15b-npu7=47
6,238,1.0,133.27470514923334,156.78506111726165,165.98843270912766,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=48
7,243,1.0,132.39203905686736,154.62805703282356,158.58412394300103,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
8,241,1.0,131.92144641652703,158.07105973362923,165.304868016392,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=47
9,249,1.0,129.5049898326397,153.60801108181477,158.1368101760745,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=51
10,239,1.0,132.97975296154618,162.55557863041759,172.35021479427814,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=47
11,235,1.0,133.77208914607763,162.51372918486595,171.50443885475397,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=46;qwen15b-npu6=48;qwen15b-npu7=47
12,240,1.0,128.93851706758142,153.97757291793823,160.92416923493147,qwen15b-npu3=45;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
13,233,1.0,130.63303800299764,213.77820009365678,314.24959702417254,qwen15b-npu3=49;qwen15b-npu4=46;qwen15b-npu5=46;qwen15b-npu6=45;qwen15b-npu7=47
14,244,1.0,130.27183478698134,159.71087105572224,167.28548100218177,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
15,239,1.0,132.1809976361692,159.78095214813948,172.03436279669404,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=47
16,242,1.0,130.89049980044365,152.51617319881916,158.23958162218332,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
17,242,1.0,132.55773996934295,156.0278758406639,166.57118685543537,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
18,239,1.0,133.9120902121067,157.7237374149263,164.29897211492062,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=48
19,240,1.0,131.7849149927497,154.6976580284536,157.87707781419158,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
20,236,1.0,131.51870295405388,159.51519878581166,169.38076494261622,qwen15b-npu3=47;qwen15b-npu4=47;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=47
21,226,1.0,131.32499204948545,233.6339419707656,340.1653990149498,qwen15b-npu3=45;qwen15b-npu4=46;qwen15b-npu5=45;qwen15b-npu6=44;qwen15b-npu7=46
22,240,1.0,133.35902616381645,159.8383910022676,176.01808905601501,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=48
23,238,1.0,133.33857525140047,155.5027230642736,160.7278580777347,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=47
24,241,1.0,130.50293596461415,156.12754691392183,163.60811702907085,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=49
25,243,1.0,130.25313476100564,154.94302893057466,160.67793732509017,qwen15b-npu3=47;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
26,244,1.0,128.66800371557474,156.2578179873526,163.3600750938058,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
27,243,1.0,129.92410315200686,158.910206053406,166.26573400571942,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
