second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,254,1.0,130.5519170127809,152.6992260478437,159.7127541899681,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=52;qwen15b-npu7=51
1,246,1.0,128.42099275439978,148.58598913997412,152.12193271145225,qwen15b-npu3=52;qwen15b-npu4=51;qwen15b-npu5=47;qwen15b-npu6=47;qwen15b-npu7=49
2,248,1.0,129.10489784553647,146.6147257015109,153.74151291325688,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=52;qwen15b-npu6=48;qwen15b-npu7=51
3,243,1.0,130.9080896899104,150.31212102621794,157.4741885997355,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=52;qwen15b-npu7=47
4,252,1.0,128.20656225085258,144.58929281681776,150.5523519590497,qwen15b-npu3=53;qwen15b-npu4=49;qwen15b-npu5=52;qwen15b-npu6=49;qwen15b-npu7=49
5,242,1.0,129.97239409014583,150.0446479767561,158.85419817641377,qwen15b-npu3=48;qwen15b-npu4=51;qwen15b-npu5=44;qwen15b-npu6=49;qwen15b-npu7=50
6,246,1.0,130.45910699293017,146.9236765988171,155.1930126734078,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=52;qwen15b-npu6=49;qwen15b-npu7=49
7,236,1.0,133.50869715213776,168.7716548331082,186.92749692127109,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=45
8,243,1.0,130.6885089725256,150.49839206039906,163.91329187899828,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=50
9,251,1.0,128.02532128989697,147.5887717679143,157.26766688749194,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=51
10,241,1.0,131.39447383582592,150.86775412783027,154.04266584664583,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=47
11,246,1.0,128.21787223219872,151.75856975838542,158.1602031365037,qwen15b-npu3=51;qwen15b-npu4=49;qwen15b-npu5=46;qwen15b-npu6=49;qwen15b-npu7=51
12,246,1.0,132.5948517769575,148.43178819864988,152.99378894269466,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=49
13,241,1.0,128.90835711732507,145.79696021974087,153.41843105852604,qwen15b-npu3=47;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
14,251,1.0,128.69050493463874,147.54221169278026,151.4147580601275,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=51;qwen15b-npu6=51;qwen15b-npu7=50
15,245,1.0,130.09328488260508,147.1799099817872,150.51194094121456,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
16,246,1.0,130.81280887126923,148.38726678863168,154.05554603785276,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=49
17,248,1.0,127.61432817205787,144.18294886127114,149.98567895963788,qwen15b-npu3=45;qwen15b-npu4=53;qwen15b-npu5=49;qwen15b-npu6=52;qwen15b-npu7=49
18,249,1.0,130.23251574486494,147.7615237236023,154.14061583578587,qwen15b-npu3=54;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=47;qwen15b-npu7=50
19,250,1.0,125.96854707226157,147.7342932485044,153.72598310932517,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=51
20,249,1.0,128.9322366937995,151.95406088605523,156.65299305692315,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=50
21,242,1.0,130.94132021069527,149.71183706074953,155.52946599200368,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=48
22,245,1.0,129.24752896651626,146.44649485126138,155.14373313635588,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
23,247,1.0,130.23252598941326,149.5104762725532,156.33141109719872,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
24,246,1.0,130.2700061351061,143.44585500657558,148.38034706190228,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=48
25,245,1.0,129.9770139157772,151.6938302665949,161.47820511832833,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=49
26,239,1.0,131.41835387796164,156.43889224156737,169.34555862098932,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
27,243,1.0,130.58569794520736,159.39352102577686,172.61605011299253,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=48
28,248,1.0,128.2753818668425,148.65669002756476,159.4458119943738,qwen15b-npu3=49;qwen15b-npu4=51;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=50
29,246,1.0,129.62585175409913,147.9508150368929,155.4267150349915,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=50
30,250,1.0,127.94236000627279,147.39365130662918,154.4657782651484,qwen15b-npu3=35;qwen15b-npu4=55;qwen15b-npu5=52;qwen15b-npu6=54;qwen15b-npu7=54
31,245,1.0,128.8903267122805,148.83635006844997,153.74502399936318,qwen15b-npu3=28;qwen15b-npu4=55;qwen15b-npu5=55;qwen15b-npu6=54;qwen15b-npu7=53
