ts,status,latency_ms,backend,error
1782498466.4388843,200,104.6331231482327,qwen15b-npu4,
1782498466.4489756,200,121.49724690243602,qwen15b-npu7,
1782498466.4512846,200,113.4087829850614,qwen15b-npu5,
1782498466.4525304,200,119.01669995859265,qwen15b-npu3,
1782498466.4555387,200,126.81490182876587,qwen15b-npu6,
1782498466.4647007,200,122.19090200960636,qwen15b-npu4,
1782498466.4649577,200,127.59065814316273,qwen15b-npu4,
1782498466.4652286,200,122.2295006737113,qwen15b-npu4,
1782498466.4654882,200,123.98995319381356,qwen15b-npu4,
1782498466.4764676,200,136.79812010377645,qwen15b-npu7,
1782498466.476721,200,139.95631085708737,qwen15b-npu7,
1782498466.477058,200,146.37656370177865,qwen15b-npu7,
1782498466.4774115,200,147.89834432303905,qwen15b-npu7,
1782498466.4786406,200,134.10764187574387,qwen15b-npu5,
1782498466.4792426,200,140.82005713135004,qwen15b-npu5,
1782498466.4798505,200,134.73141565918922,qwen15b-npu5,
1782498466.4805946,200,134.940376970917,qwen15b-npu5,
1782498466.4811587,200,140.87572786957026,qwen15b-npu3,
1782498466.4820642,200,141.23440999537706,qwen15b-npu3,
1782498466.4824612,200,143.33206322044134,qwen15b-npu5,
1782498466.4828987,200,140.93436673283577,qwen15b-npu3,
1782498466.4883795,200,153.49873201921582,qwen15b-npu6,
1782498466.4889257,200,152.87437802180648,qwen15b-npu6,
1782498466.489186,200,159.18278088793159,qwen15b-npu6,
1782498466.489417,200,156.70873364433646,qwen15b-npu6,
1782498466.4896986,200,145.72423044592142,qwen15b-npu6,
1782498466.5103855,200,164.07790314406157,qwen15b-npu4,
1782498466.525037,200,174.86927611753345,qwen15b-npu7,
1782498466.5259938,200,178.95772261545062,qwen15b-npu7,
1782498466.5354705,200,187.69544223323464,qwen15b-npu3,
1782498466.5359056,200,187.47965106740594,qwen15b-npu3,
1782498466.5362923,200,187.12548771873116,qwen15b-npu3,
1782498466.5583217,200,106.90724803134799,qwen15b-npu4,
1782498466.5586424,200,119.6097549982369,qwen15b-npu4,
1782498466.5737057,200,108.93417289480567,qwen15b-npu5,
1782498466.574301,200,121.66980793699622,qwen15b-npu5,
1782498466.5745673,200,125.49657421186566,qwen15b-npu5,
1782498466.5758414,200,110.28709076344967,qwen15b-npu7,
1782498466.5763016,200,120.69335067644715,qwen15b-npu7,
1782498466.5874178,200,122.11867095902562,qwen15b-npu3,
1782498466.5925965,200,127.56680836901069,qwen15b-npu6,
1782498466.5977058,200,118.39319579303265,qwen15b-npu5,
