second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,37,1.0,8623.801520094275,9438.707188237458,9468.82466133684,isolated-npu5=31;isolated-npu7=6
1,27,1.0,9528.593093156815,9540.614183992147,9544.862171635032,isolated-npu7=27
3,32,1.0,11688.899996690452,11725.340991746634,11735.011287033558,isolated-npu6=32
6,10,1.0,6717.904775869101,6732.44271427393,6732.44271427393,isolated-npu5=10
7,13,1.0,6664.474797435105,6685.336517170072,6685.336517170072,isolated-npu5=13
9,42,1.0,8731.421432923526,9525.813263840973,9588.579225819558,isolated-npu5=10;isolated-npu6=22;isolated-npu7=10
10,18,1.0,7636.914734728634,9265.803046058863,9265.803046058863,isolated-npu6=9;isolated-npu7=9
12,13,1.0,9366.571703925729,9375.621865037829,9375.621865037829,isolated-npu7=13
13,4,1.0,6643.360494635999,6646.713466849178,6646.713466849178,isolated-npu5=4
14,12,1.0,6629.825374111533,7698.795959819108,7698.795959819108,isolated-npu5=6;isolated-npu6=4;isolated-npu7=2
15,7,1.0,7667.620060965419,7677.333096042275,7677.333096042275,isolated-npu6=4;isolated-npu7=3
16,18,1.0,6628.249843139201,7613.716088235378,7613.716088235378,isolated-npu5=14;isolated-npu6=1;isolated-npu7=3
17,37,1.0,7453.053018078208,7627.591231837869,7630.111198872328,isolated-npu5=4;isolated-npu6=17;isolated-npu7=16
18,5,1.0,7404.096839018166,7564.5402376540005,7564.5402376540005,isolated-npu6=2;isolated-npu7=3
19,8,1.0,6591.42911573872,7341.762570198625,7341.762570198625,isolated-npu5=5;isolated-npu7=3
20,8,1.0,7581.083270255476,7590.518381912261,7590.518381912261,isolated-npu6=5;isolated-npu7=3
21,6,1.0,7382.381964009255,7569.092888850719,7569.092888850719,isolated-npu6=3;isolated-npu7=3
22,13,1.0,7543.819359038025,8434.006962925196,8434.006962925196,isolated-npu5=6;isolated-npu6=5;isolated-npu7=2
23,8,1.0,7499.2310791276395,8446.660809218884,8446.660809218884,isolated-npu5=1;isolated-npu6=4;isolated-npu7=3
24,29,1.0,7500.181175768375,8500.832273159176,8501.455727033317,isolated-npu5=4;isolated-npu6=11;isolated-npu7=14
25,17,1.0,8566.620074678212,8612.616813741624,8612.616813741624,isolated-npu5=11;isolated-npu6=2;isolated-npu7=4
26,9,1.0,8562.233525794,8587.707347236574,8587.707347236574,isolated-npu5=7;isolated-npu6=1;isolated-npu7=1
27,11,1.0,7492.035009898245,8589.958722237498,8589.958722237498,isolated-npu5=3;isolated-npu6=6;isolated-npu7=2
28,4,1.0,7198.128474876285,7306.4287030138075,7306.4287030138075,isolated-npu5=3;isolated-npu7=1
29,12,1.0,7262.927419971675,7527.435048948973,7527.435048948973,isolated-npu5=5;isolated-npu6=3;isolated-npu7=4
30,11,1.0,7287.377514876425,7578.599002212286,7578.599002212286,isolated-npu5=4;isolated-npu6=4;isolated-npu7=3
31,20,1.0,6619.58965472877,7607.669927645475,7611.70430528,isolated-npu5=10;isolated-npu6=4;isolated-npu7=6
32,23,1.0,7284.413014072925,7612.760242074728,7627.979734912515,isolated-npu5=5;isolated-npu6=10;isolated-npu7=8
33,15,1.0,7285.991535056382,7612.548901233822,7612.548901233822,isolated-npu5=4;isolated-npu6=5;isolated-npu7=6
34,8,1.0,7277.840290218592,7609.025557059795,7609.025557059795,isolated-npu5=1;isolated-npu6=3;isolated-npu7=4
35,11,1.0,7286.618508864194,7603.313188999891,7603.313188999891,isolated-npu5=4;isolated-npu6=4;isolated-npu7=3
36,7,1.0,7325.974294450134,7582.029715646058,7582.029715646058,isolated-npu5=2;isolated-npu6=3;isolated-npu7=2
37,13,1.0,7314.654938410968,7572.947233915329,7572.947233915329,isolated-npu5=6;isolated-npu6=4;isolated-npu7=3
38,17,1.0,7285.125480033457,7564.765819814056,7564.765819814056,isolated-npu5=7;isolated-npu6=4;isolated-npu7=6
39,24,1.0,7273.185390047729,7574.245372787118,7578.080388717353,isolated-npu5=7;isolated-npu6=9;isolated-npu7=8
40,14,1.0,7299.776568077505,7619.177844841033,7619.177844841033,isolated-npu5=2;isolated-npu6=7;isolated-npu7=5
