second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,257,1.0,132.09543703123927,155.88003490120173,181.05827271938324,qwen15b-npu3=52;qwen15b-npu4=51;qwen15b-npu5=51;qwen15b-npu6=52;qwen15b-npu7=51
1,245,1.0,125.81027578562498,142.80599914491177,149.95899610221386,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=49
2,245,1.0,130.33184595406055,152.17274008318782,163.30160479992628,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=48
3,249,1.0,128.4939842298627,149.9675870873034,154.2962952516973,qwen15b-npu3=50;qwen15b-npu4=52;qwen15b-npu5=47;qwen15b-npu6=50;qwen15b-npu7=50
4,243,1.0,130.4630166850984,149.46391200646758,154.77142808958888,qwen15b-npu3=48;qwen15b-npu4=45;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=50
5,248,1.0,129.83283214271069,147.56993995979428,152.56472397595644,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=46;qwen15b-npu7=50
6,242,1.0,131.41475291922688,148.88079930096865,158.26123114675283,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=47;qwen15b-npu6=50;qwen15b-npu7=48
7,247,1.0,129.06887801364064,151.2381350621581,158.21648109704256,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=51;qwen15b-npu7=49
8,252,1.0,126.67278200387955,149.00454925373197,155.88889457285404,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=50
9,244,1.0,128.11690056696534,147.41468988358974,155.49843292683363,qwen15b-npu3=46;qwen15b-npu4=48;qwen15b-npu5=52;qwen15b-npu6=49;qwen15b-npu7=49
10,243,1.0,131.15186104550958,151.0956333950162,159.5168001949787,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=46;qwen15b-npu7=50
11,251,1.0,129.1459882631898,144.2853482440114,148.09164311736822,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=50
12,251,1.0,128.69616504758596,149.4072233326733,156.01091599091887,qwen15b-npu3=51;qwen15b-npu4=51;qwen15b-npu5=49;qwen15b-npu6=52;qwen15b-npu7=48
13,242,1.0,129.80823265388608,144.8668520897627,147.99805311486125,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=48
