ts,status,latency_ms,backend,error
1782499318.21445,200,103.35311619564891,qwen15b-npu5,
1782499318.2177367,200,110.04927102476358,qwen15b-npu4,
1782499318.2278447,200,122.2940320149064,qwen15b-npu3,
1782499318.2314432,200,116.78543500602245,qwen15b-npu7,
1782499318.2323666,200,119.75388508290052,qwen15b-npu7,
1782499318.2326798,200,125.83603570237756,qwen15b-npu6,
1782499318.2407472,200,121.07585417106748,qwen15b-npu5,
1782499318.2410264,200,125.49347383901477,qwen15b-npu5,
1782499318.2415874,200,122.61458486318588,qwen15b-npu5,
1782499318.2419863,200,124.48694696649909,qwen15b-npu5,
1782499318.2438087,200,121.54634715989232,qwen15b-npu4,
1782499318.2442608,200,123.33367904648185,qwen15b-npu4,
1782499318.2452767,200,133.52634711191058,qwen15b-npu4,
1782499318.2455444,200,135.9683428891003,qwen15b-npu4,
1782499318.2465425,200,129.97915409505367,qwen15b-npu4,
1782499318.2559006,200,137.95609679073095,qwen15b-npu3,
1782499318.256243,200,147.22361788153648,qwen15b-npu3,
1782499318.2585464,200,142.5111759454012,qwen15b-npu7,
1782499318.259388,200,145.41908586397767,qwen15b-npu7,
1782499318.2597568,200,139.53687623143196,qwen15b-npu7,
1782499318.262562,200,139.33493522927165,qwen15b-npu6,
1782499318.2628567,200,154.51272623613477,qwen15b-npu6,
1782499318.2631938,200,149.88528518006206,qwen15b-npu6,
1782499318.26361,200,142.02456269413233,qwen15b-npu6,
1782499318.2644076,200,145.94649896025658,qwen15b-npu6,
1782499318.2826107,200,156.77528083324432,qwen15b-npu5,
1782499318.2828836,200,158.83479500189424,qwen15b-npu5,
1782499318.2831626,200,158.60359370708466,qwen15b-npu5,
1782499318.2845876,200,157.82297821715474,qwen15b-npu3,
1782499318.2854257,200,160.2632449939847,qwen15b-npu3,
1782499318.2857358,200,157.98113914206624,qwen15b-npu7,
1782499318.2868793,200,159.58037041127682,qwen15b-npu4,
1782499318.3261878,200,111.65490234270692,qwen15b-npu5,
1782499318.3340008,200,116.16835184395313,qwen15b-npu4,
1782499318.3481884,200,116.61999486386776,qwen15b-npu5,
1782499318.3572624,200,116.17811163887382,qwen15b-npu4,
1782499318.3617046,200,128.89002682641149,qwen15b-npu3,
1782499318.3620768,200,119.98288705945015,qwen15b-npu3,
1782499318.3625207,200,120.86169328540564,qwen15b-npu3,
1782499318.3652565,200,119.64993504807353,qwen15b-npu7,
1782499318.3655202,200,121.16047507151961,qwen15b-npu7,
1782499318.3659086,200,120.55572075769305,qwen15b-npu7,
1782499318.3705213,200,129.68978099524975,qwen15b-npu6,
1782499318.3707988,200,142.8747591562569,qwen15b-npu6,
1782499318.3714569,200,124.82030875980854,qwen15b-npu6,
1782499318.3724768,200,109.19586475938559,qwen15b-npu5,
1782499318.3726983,200,140.24751214310527,qwen15b-npu6,
1782499318.382695,200,119.74501516669989,qwen15b-npu4,
1782499318.3830798,200,127.06494377925992,qwen15b-npu4,
1782499318.3836372,200,120.99324306473136,qwen15b-npu4,
1782499318.3899555,200,146.00425027310848,qwen15b-npu3,
1782499318.3903272,200,126.63859082385898,qwen15b-npu3,
1782499318.3907087,200,132.09764705970883,qwen15b-npu3,
1782499318.3910463,200,126.57242128625512,qwen15b-npu3,
1782499318.3928897,200,133.42583691701293,qwen15b-npu7,
1782499318.3932168,200,136.87472883611917,qwen15b-npu7,
1782499318.3947206,200,112.03029425814748,qwen15b-npu5,
1782499318.3958952,200,136.06511428952217,qwen15b-npu6,
1782499318.4043684,200,118.85098926723003,qwen15b-npu4,
1782499318.4139225,200,126.96332298219204,qwen15b-npu3,
1782499318.4146698,200,131.409022025764,qwen15b-npu3,
1782499318.4174502,200,131.64948532357812,qwen15b-npu7,
1782499318.4232385,200,140.28229098767042,qwen15b-npu6,
1782499318.4235435,200,138.84408213198185,qwen15b-npu6,
1782499318.443644,200,117.3736797645688,qwen15b-npu7,
1782499318.4511912,200,117.11734812706709,qwen15b-npu4,
1782499318.4619508,200,113.6947562918067,qwen15b-npu5,
1782499318.4754603,200,110.13046093285084,qwen15b-npu4,
1782499318.4757726,200,104.1754917241633,qwen15b-npu4,
1782499318.4863007,200,115.39566610008478,qwen15b-npu5,
1782499318.4866889,200,120.70821225643158,qwen15b-npu5,
1782499318.4875722,200,125.41812285780907,qwen15b-npu5,
1782499318.4902983,200,119.70256501808763,qwen15b-npu3,
1782499318.506851,200,141.25731913372874,qwen15b-npu6,
1782499318.5072534,200,112.43502609431744,qwen15b-npu4,
1782499318.5079653,200,145.35385509952903,qwen15b-npu6,
1782499318.508838,200,126.03810708969831,qwen15b-npu4,
1782499318.5091152,200,136.57202711328864,qwen15b-npu7,
1782499318.5102384,200,137.4845732934773,qwen15b-npu6,
1782499318.5106657,200,153.32844806835055,qwen15b-npu7,
1782499318.5109959,200,106.5525570884347,qwen15b-npu5,
1782499318.5113428,200,120.89911382645369,qwen15b-npu5,
1782499318.5124078,200,150.5905012600124,qwen15b-npu7,
1782499318.5129173,200,116.95420695468783,qwen15b-npu5,
1782499318.520634,200,127.64141755178571,qwen15b-npu3,
1782499318.5208952,200,137.67982507124543,qwen15b-npu3,
1782499318.5211182,200,130.31255593523383,qwen15b-npu3,
1782499318.5256693,200,135.60385117307305,qwen15b-npu7,
1782499318.5259457,200,142.23841484636068,qwen15b-npu7,
1782499318.5334923,200,118.73310897499323,qwen15b-npu6,
1782499318.5338745,200,140.58485394343734,qwen15b-npu6,
1782499318.5342498,200,143.09251122176647,qwen15b-npu6,
