second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,247,1.0,131.19950098916888,162.16228669509292,192.31411814689636,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=48;qwen15b-npu7=48
1,251,1.0,126.70072121545672,150.168526917696,160.17254395410419,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=51;qwen15b-npu7=52
2,247,1.0,129.75440174341202,152.52580307424068,159.3118878081441,qwen15b-npu3=51;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
3,238,1.0,129.99954400584102,154.5670758932829,159.3305291607976,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=48;qwen15b-npu7=48
4,244,1.0,131.85959588736296,156.15408681333065,170.67390400916338,qwen15b-npu3=50;qwen15b-npu4=48;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=48
5,244,1.0,128.4182327799499,150.49420995637774,162.61861007660627,qwen15b-npu3=46;qwen15b-npu4=51;qwen15b-npu5=50;qwen15b-npu6=48;qwen15b-npu7=49
6,242,1.0,131.14179112017155,152.41274191066623,158.29706098884344,qwen15b-npu3=51;qwen15b-npu4=46;qwen15b-npu5=47;qwen15b-npu6=50;qwen15b-npu7=48
7,251,1.0,127.05776421353221,145.16340382397175,152.65026362612844,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=51
8,238,1.0,132.73969199508429,153.37263885885477,160.18848400563002,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=47;qwen15b-npu7=48
9,240,1.0,133.8325389660895,153.84377213194966,160.89615877717733,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=50;qwen15b-npu7=45
10,251,1.0,130.33290626481175,147.37246884033084,151.09272301197052,qwen15b-npu3=49;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=52
11,243,1.0,130.45140728354454,148.2353350147605,154.30393535643816,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=50
12,251,1.0,128.1481608748436,143.90584593638778,151.73023799434304,qwen15b-npu3=54;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
13,247,1.0,127.83447979018092,149.71966482698917,158.19321107119322,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=52;qwen15b-npu7=50
14,250,1.0,128.70438490062952,144.90821305662394,152.04416029155254,qwen15b-npu3=48;qwen15b-npu4=51;qwen15b-npu5=53;qwen15b-npu6=49;qwen15b-npu7=49
