second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
0,230,1.0,140.29101699998137,179.01902300036454,189.91608299984364,qwen15b-npu4=54;qwen15b-npu5=57;qwen15b-npu6=67;qwen15b-npu7=52
1,236,1.0,135.16797400006908,155.31171499969787,172.83214499911992,qwen15b-npu4=60;qwen15b-npu5=56;qwen15b-npu6=55;qwen15b-npu7=65
2,234,1.0,135.65655700040224,160.33310900093056,164.16839600060484,qwen15b-npu4=61;qwen15b-npu5=63;qwen15b-npu6=53;qwen15b-npu7=57
3,241,1.0,130.6554929997219,148.69280599850754,152.03549999932875,qwen15b-npu4=56;qwen15b-npu5=61;qwen15b-npu6=63;qwen15b-npu7=61
4,251,1.0,129.25021699993522,142.72378900022886,149.51025899972592,qwen15b-npu4=65;qwen15b-npu5=62;qwen15b-npu6=63;qwen15b-npu7=61
5,239,1.0,130.86368499898526,146.93654700022307,149.65986000061093,qwen15b-npu4=58;qwen15b-npu5=62;qwen15b-npu6=60;qwen15b-npu7=59
6,242,1.0,132.39770099971793,147.12542800043593,161.99460600000748,qwen15b-npu4=63;qwen15b-npu5=57;qwen15b-npu6=61;qwen15b-npu7=61
7,243,1.0,133.77292800032592,146.52460599972983,153.96715899987612,qwen15b-npu4=60;qwen15b-npu5=63;qwen15b-npu6=60;qwen15b-npu7=60
8,239,1.0,132.79869399957533,157.47103600006085,165.3785809994588,qwen15b-npu4=56;qwen15b-npu5=62;qwen15b-npu6=61;qwen15b-npu7=60
9,234,1.0,134.56427100027213,148.53627499905997,154.07761000096798,qwen15b-npu4=57;qwen15b-npu5=60;qwen15b-npu6=58;qwen15b-npu7=59
10,243,1.0,132.2407910010952,148.11556299900985,151.76989999963553,qwen15b-npu4=65;qwen15b-npu5=59;qwen15b-npu6=60;qwen15b-npu7=59
11,241,1.0,132.52897200072766,145.40254100029415,151.67407899934915,qwen15b-npu4=59;qwen15b-npu5=63;qwen15b-npu6=61;qwen15b-npu7=58
12,240,1.0,133.88057900010608,149.29898900118133,156.73459200115758,qwen15b-npu4=60;qwen15b-npu5=58;qwen15b-npu6=59;qwen15b-npu7=63
13,239,1.0,132.70609299979697,158.14468899952772,163.59126300085336,qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=58
14,236,1.0,131.3839869999356,153.58197699970333,165.4318319997401,qwen15b-npu4=59;qwen15b-npu5=57;qwen15b-npu6=63;qwen15b-npu7=57
15,242,1.0,130.4579220013693,149.81550000084098,152.09457099990686,qwen15b-npu4=60;qwen15b-npu5=62;qwen15b-npu6=61;qwen15b-npu7=59
16,244,1.0,130.9501449995878,146.32075400004396,151.41175800090423,qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=61;qwen15b-npu7=61
17,240,1.0,131.7901790007454,154.37769099844445,165.31707100148196,qwen15b-npu4=64;qwen15b-npu5=58;qwen15b-npu6=59;qwen15b-npu7=59
18,243,1.0,130.33251200067753,143.14274999924237,149.12629799982824,qwen15b-npu4=59;qwen15b-npu5=60;qwen15b-npu6=64;qwen15b-npu7=60
19,246,1.0,130.57226299861213,145.47755099920323,151.3921779987868,qwen15b-npu4=63;qwen15b-npu5=61;qwen15b-npu6=58;qwen15b-npu7=64
20,240,1.0,131.76045900036115,147.25192900004913,156.60188099900552,qwen15b-npu4=61;qwen15b-npu5=59;qwen15b-npu6=61;qwen15b-npu7=59
21,242,1.0,130.56362299903412,150.18103199872712,157.78943599980266,qwen15b-npu4=62;qwen15b-npu5=61;qwen15b-npu6=59;qwen15b-npu7=60
