timestamp,backend_id,requests_total,num_requests_running,num_requests_waiting,kv_cache_usage,ttft_avg_ms,tpot_avg_ms,queue_time_avg_ms,e2e_latency_avg_ms,router_phase,router_capacity,router_effective_weight,router_desired_weight,router_inflight,router_remote_utilization,router_queue_depth,router_kv_cache_usage,router_latency_ewma_ms
2026-06-27T20:31:05.594654,qwen15b-npu3,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:05.620027,qwen15b-npu4,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:05.640140,qwen15b-npu5,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:05.657781,qwen15b-npu6,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:05.675911,qwen15b-npu7,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:06.692001,qwen15b-npu3,32.0,32.0,0.0,0.002725014025807493,399.44861829280853,27.196755617954818,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:06.704851,qwen15b-npu4,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:06.718020,qwen15b-npu5,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:06.729393,qwen15b-npu6,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:06.741150,qwen15b-npu7,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:07.755926,qwen15b-npu3,32.0,32.0,0.0,0.002725014025807493,399.44861829280853,26.886304213092476,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:07.768042,qwen15b-npu4,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:07.779927,qwen15b-npu5,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:07.791234,qwen15b-npu6,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:07.802796,qwen15b-npu7,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,0,0,0,0,0
2026-06-27T20:31:08.820081,qwen15b-npu3,39.0,36.0,0.0,0.0056103229943095245,348.84035892975635,27.727395891126125,0.019589999283198267,186.1721674601237,active,10,10,10,4,0,0,0,195.84618749999998
2026-06-27T20:31:08.834661,qwen15b-npu4,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,7,0,0,0,0
2026-06-27T20:31:08.846578,qwen15b-npu5,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,7,0,0,0,0
2026-06-27T20:31:08.862191,qwen15b-npu6,0,0.0,0.0,0.0,0,0,0,0,active,10,10,10,7,0,0,0,0
2026-06-27T20:31:08.873940,qwen15b-npu7,1.0,6.0,0.0,0.00048088482808372746,263.86308670043945,0,0,0,active,10,10,10,7,0,0,0,0
2026-06-27T20:31:09.890702,qwen15b-npu3,79.0,35.0,0.0,0.0055301755229622,214.49059474317335,28.70255872609983,0.01719426674955887,152.19008127848306,active,10,9.962713461645508,9.850853846582032,9,0,0,0,147.31918679817085
2026-06-27T20:31:09.907062,qwen15b-npu4,47.0,3.0,0.0,0.00024044241404186373,108.59206889538055,28.043053315247125,0.02205060876724968,165.45492669810417,active,10,9.9018552,9.6074208,5,0,0,0,124.71007420157461
2026-06-27T20:31:09.919577,qwen15b-npu5,48.0,4.0,0.0,0.0003205898853890776,106.32383823394775,28.264135720394645,0.01997919595020864,164.77634077486786,active,10,9.9019568,9.6078272,5,0,0,0,128.30373725597406
